!k=(p1-p2)/2
T_R	N 
0.000125	0.0167739
0.000375	0.0171023
0.000625	0.0168007
0.000875	0.0172697
0.001125	0.0170499
0.001375	0.0175072
0.001625	0.017287
0.001875	0.0176933
0.002125	0.0174915
0.002375	0.0168201
0.002625	0.0169526
0.002875	0.0176758
0.003125	0.017183
0.003375	0.0175676
0.003625	0.0172627
0.003875	0.017965
0.004125	0.0172132
0.004375	0.0182069
0.004625	0.0175786
0.004875	0.0182286
0.005125	0.0178853
0.005375	0.017626
0.005625	0.0178543
0.005875	0.018211
0.006125	0.0183153
0.006375	0.0181872
0.006625	0.0185647
0.006875	0.0188913
0.007125	0.0189104
0.007375	0.0186137
0.007625	0.0191373
0.007875	0.0194771
0.008125	0.0193132
0.008375	0.019052
0.008625	0.0194388
0.008875	0.0196
0.009125	0.0199093
0.009375	0.0200601
0.009625	0.0202051
0.009875	0.019913
0.010125	0.0204814
0.010375	0.0207376
0.010625	0.0205409
0.010875	0.0209619
0.011125	0.0209185
0.011375	0.0209452
0.011625	0.0212847
0.011875	0.0213601
0.012125	0.0218001
0.012375	0.0215675
0.012625	0.021661
0.012875	0.0219075
0.013125	0.0221233
0.013375	0.0222596
0.013625	0.0225392
0.013875	0.0224025
0.014125	0.0227101
0.014375	0.0226878
0.014625	0.0229849
0.014875	0.0235224
0.015125	0.023422
0.015375	0.0233744
0.015625	0.0238098
0.015875	0.0237437
0.016125	0.024352
0.016375	0.0242103
0.016625	0.024464
0.016875	0.0249707
0.017125	0.0246616
0.017375	0.0248459
0.017625	0.0252676
0.017875	0.0251614
0.018125	0.0256458
0.018375	0.0260799
0.018625	0.0259265
0.018875	0.0262387
0.019125	0.0261914
0.019375	0.0264978
0.019625	0.0265489
0.019875	0.0267553
0.020125	0.0270527
0.020375	0.0272284
0.020625	0.0273786
0.020875	0.0276539
0.021125	0.0280019
0.021375	0.0283383
0.021625	0.0282516
0.021875	0.0283543
0.022125	0.0290917
0.022375	0.0289188
0.022625	0.0292739
0.022875	0.0292994
0.023125	0.0297289
0.023375	0.0295777
0.023625	0.0298409
0.023875	0.0299231
0.024125	0.0304579
0.024375	0.0304045
0.024625	0.0305882
0.024875	0.0308061
0.025125	0.0311258
0.025375	0.0311384
0.025625	0.0314506
0.025875	0.0316891
0.026125	0.0321745
0.026375	0.0320052
0.026625	0.0322934
0.026875	0.0324371
0.027125	0.0327061
0.027375	0.0329937
0.027625	0.0330919
0.027875	0.0335192
0.028125	0.03332
0.028375	0.0338448
0.028625	0.0340699
0.028875	0.034018
0.029125	0.0345054
0.029375	0.0345936
0.029625	0.0348566
0.029875	0.0347464
0.030125	0.0352367
0.030375	0.0357579
0.030625	0.0358506
0.030875	0.0358397
0.031125	0.0363303
0.031375	0.0361633
0.031625	0.0365934
0.031875	0.0367804
0.032125	0.0368
0.032375	0.0374372
0.032625	0.0373317
0.032875	0.0377353
0.033125	0.0378487
0.033375	0.0381254
0.033625	0.0381159
0.033875	0.038374
0.034125	0.0385626
0.034375	0.0389917
0.034625	0.0393209
0.034875	0.0394517
0.035125	0.039385
0.035375	0.0399046
0.035625	0.0401765
0.035875	0.0402949
0.036125	0.0405965
0.036375	0.0407445
0.036625	0.0410566
0.036875	0.0413916
0.037125	0.0415565
0.037375	0.0418866
0.037625	0.0418342
0.037875	0.0421941
0.038125	0.0422096
0.038375	0.0427986
0.038625	0.0428694
0.038875	0.0430482
0.039125	0.0434039
0.039375	0.0435629
0.039625	0.0439133
0.039875	0.0439831
0.040125	0.0443822
0.040375	0.0443378
0.040625	0.0446154
0.040875	0.0448396
0.041125	0.0448711
0.041375	0.0453239
0.041625	0.0453409
0.041875	0.0456399
0.042125	0.0460047
0.042375	0.0460458
0.042625	0.0467963
0.042875	0.046654
0.043125	0.0469972
0.043375	0.0471332
0.043625	0.0474583
0.043875	0.047539
0.044125	0.0478597
0.044375	0.0480412
0.044625	0.0483999
0.044875	0.0488622
0.045125	0.0487853
