!k=(p1-p2)/2
T_R	N 
0.000125	0.0223942
0.000375	0.0226857
0.000625	0.0228571
0.000875	0.0228999
0.001125	0.0231202
0.001375	0.0224982
0.001625	0.0228676
0.001875	0.0224244
0.002125	0.0222099
0.002375	0.0228861
0.002625	0.0229504
0.002875	0.0226918
0.003125	0.0223736
0.003375	0.0225793
0.003625	0.0228121
0.003875	0.0226832
0.004125	0.0227253
0.004375	0.0229219
0.004625	0.0228152
0.004875	0.022554
0.005125	0.0226261
0.005375	0.0225878
0.005625	0.0225986
0.005875	0.0225346
0.006125	0.02267
0.006375	0.0228609
0.006625	0.0229292
0.006875	0.0225716
0.007125	0.0225385
0.007375	0.0229262
0.007625	0.0232336
0.007875	0.0230908
0.008125	0.0228876
0.008375	0.0232678
0.008625	0.0232434
0.008875	0.0230143
0.009125	0.0229821
0.009375	0.023432
0.009625	0.0229832
0.009875	0.0232217
0.010125	0.022896
0.010375	0.0228131
0.010625	0.0226414
0.010875	0.02345
0.011125	0.0236892
0.011375	0.0233135
0.011625	0.0231536
0.011875	0.0238082
0.012125	0.0238135
0.012375	0.0233416
0.012625	0.0234099
0.012875	0.0234928
0.013125	0.0234824
0.013375	0.023522
0.013625	0.023595
0.013875	0.0238496
0.014125	0.0238598
0.014375	0.0237715
0.014625	0.0237107
0.014875	0.023621
0.015125	0.0235816
0.015375	0.0237314
0.015625	0.0238298
0.015875	0.0239472
0.016125	0.0233371
0.016375	0.0237984
0.016625	0.0238612
0.016875	0.0240377
0.017125	0.024271
0.017375	0.02418
0.017625	0.0239937
0.017875	0.0246104
0.018125	0.0241275
0.018375	0.0245239
0.018625	0.0244663
0.018875	0.0238206
0.019125	0.0247874
0.019375	0.0240811
0.019625	0.0244837
0.019875	0.0245766
0.020125	0.0243781
0.020375	0.0240983
0.020625	0.0247717
0.020875	0.0246654
0.021125	0.0248393
0.021375	0.0240447
0.021625	0.0247376
0.021875	0.0247413
0.022125	0.024684
0.022375	0.024695
0.022625	0.0248725
0.022875	0.0249432
0.023125	0.0251262
0.023375	0.0249605
0.023625	0.0252007
0.023875	0.0253806
0.024125	0.0252138
0.024375	0.0251584
0.024625	0.0250806
0.024875	0.0255764
0.025125	0.0253675
0.025375	0.0255408
0.025625	0.0252568
0.025875	0.0257471
0.026125	0.0259055
0.026375	0.0255939
0.026625	0.0262174
0.026875	0.0256863
0.027125	0.0255453
0.027375	0.0258179
0.027625	0.0254071
0.027875	0.0262213
0.028125	0.0258402
0.028375	0.0259157
0.028625	0.0255449
0.028875	0.0262864
0.029125	0.0263151
0.029375	0.0260505
0.029625	0.0259928
0.029875	0.026002
0.030125	0.0262636
0.030375	0.0263054
0.030625	0.0262951
0.030875	0.0267019
0.031125	0.0263712
0.031375	0.026524
0.031625	0.0267939
0.031875	0.0262882
0.032125	0.0267743
