!k=p1-p2
T_R	N 
0.00025	0.0179883
0.00075	0.0205159
0.00125	0.0269175
0.00175	0.0231081
0.00225	0.0199937
0.00275	0.0201783
0.00325	0.0175062
0.00375	0.0180008
0.00425	0.0201249
0.00475	0.0222902
0.00525	0.0247542
0.00575	0.0273945
0.00625	0.00989605
0.00675	0.0263436
0.00725	0.0224734
0.00775	0.022174
0.00825	0.0220888
0.00875	0.0223541
0.00925	0.0217652
0.00975	0.0242012
0.01025	0.0197522
0.01075	0.0221963
0.01125	0.023861
0.01175	0.0249513
0.01225	0.0287141
0.01275	0.0240034
0.01325	0.0273295
0.01375	0.024171
0.01425	0.0206669
0.01475	0.0284446
0.01525	0.0276409
0.01575	0.0275215
0.01625	0.0205503
0.01675	0.0230595
0.01725	0.0305581
0.01775	0.0287926
0.01825	0.0303049
0.01875	0.0210026
0.01925	0.0365625
0.01975	0.0273969
0.02025	0.0269249
0.02075	0.0292886
0.02125	0.0278652
0.02175	0.0253534
0.02225	0.0298404
0.02275	0.0312964
0.02325	0.0345253
0.02375	0.028905
0.02425	0.0323552
0.02475	0.0332782
0.02525	0.0367417
0.02575	0.0308884
0.02625	0.0355993
0.02675	0.0345561
0.02725	0.0340484
0.02775	0.0353043
0.02825	0.0350369
0.02875	0.0340495
0.02925	0.0368634
0.02975	0.0368116
0.03025	0.0352156
0.03075	0.0404449
0.03125	0.039557
0.03175	0.0379144
0.03225	0.0378559
0.03275	0.0418161
0.03325	0.0367996
0.03375	0.0418544
0.03425	0.0393329
0.03475	0.0405089
0.03525	0.0421512
0.03575	0.0430662
0.03625	0.0491613
0.03675	0.03881
0.03725	0.0440789
0.03775	0.0427264
0.03825	0.0441071
0.03875	0.0403066
0.03925	0.042808
0.03975	0.0452708
0.04025	0.0456333
0.04075	0.0438287
0.04125	0.0477162
0.04175	0.0471659
0.04225	0.0486745
0.04275	0.0475524
0.04325	0.0507659
0.04375	0.048985
0.04425	0.0489322
0.04475	0.0459749
0.04525	0.0492862
0.04575	0.0492827
0.04625	0.0495465
0.04675	0.0518994
0.04725	0.0531276
0.04775	0.0542333
0.04825	0.0509993
0.04875	0.0514498
0.04925	0.0541095
0.04975	0.0508535
0.05025	0.0561381
0.05075	0.0565425
0.05125	0.052256
0.05175	0.0530803
0.05225	0.0580672
0.05275	0.0626678
0.05325	0.0570213
0.05375	0.0575905
0.05425	0.0575994
0.05475	0.0587683
0.05525	0.0607461
0.05575	0.0591118
0.05625	0.0602294
0.05675	0.0589711
0.05725	0.0601738
0.05775	0.060445
0.05825	0.0618669
0.05875	0.064245
0.05925	0.062063
0.05975	0.0644215
0.06025	0.0634993
0.06075	0.063994
0.06125	0.0637658
0.06175	0.0649086
0.06225	0.0659886
0.06275	0.0678723
0.06325	0.0671936
0.06375	0.0684531
0.06425	0.0680847
0.06475	0.0679975
0.06525	0.0685033
0.06575	0.0679373
0.06625	0.0690777
0.06675	0.0694543
0.06725	0.070434
0.06775	0.0710289
0.06825	0.072298
0.06875	0.0725381
0.06925	0.0737399
0.06975	0.0715102
0.07025	0.073633
0.07075	0.0715398
0.07125	0.0762913
0.07175	0.0747137
0.07225	0.0727586
0.07275	0.0747685
0.07325	0.0765324
0.07375	0.0758626
0.07425	0.0781286
0.07475	0.0771582
0.07525	0.0787491
0.07575	0.0785255
0.07625	0.0789507
0.07675	0.0804036
0.07725	0.0799198
0.07775	0.0801072
0.07825	0.0796436
0.07875	0.082885
0.07925	0.0823964
0.07975	0.0819892
0.08025	0.0827253
0.08075	0.0843908
0.08125	0.0833245
0.08175	0.0850604
0.08225	0.0848904
0.08275	0.0852595
0.08325	0.0863765
0.08375	0.0878483
0.08425	0.086679
0.08475	0.0877003
0.08525	0.0869744
0.08575	0.0891554
0.08625	0.0902345
0.08675	0.0901245
0.08725	0.0911044
0.08775	0.0892487
0.08825	0.0911757
0.08875	0.0915426
0.08925	0.0927105
0.08975	0.0935269
0.09025	0.0902207
0.09075	0.0929851
0.09125	0.0949491
0.09175	0.0951717
0.09225	0.09572
0.09275	0.0967971
0.09325	0.0950174
0.09375	0.096
0.09425	0.0961245
