!k=p1-p2
T_R	N 
0.00025	0.02617
0.00075	0.0212651
0.00125	0.022395
0.00175	0.0252241
0.00225	0.0199297
0.00275	0.0165294
0.00325	0.0219518
0.00375	0.0226571
0.00425	0.0232471
0.00475	0.0238582
0.00525	0.0196983
0.00575	0.0239923
0.00625	0.0267211
0.00675	0.0190643
0.00725	0.0222096
0.00775	0.0194429
0.00825	0.0241103
0.00875	0.0238145
0.00925	0.0270978
0.00975	0.0256175
0.01025	0.026305
0.01075	0.0286895
0.01125	0.0207823
0.01175	0.0225992
0.01225	0.0284257
0.01275	0.0221404
0.01325	0.0283522
0.01375	0.0226023
0.01425	0.0165644
0.01475	0.0277243
0.01525	0.0253835
0.01575	0.0295319
0.01625	0.0216914
0.01675	0.0273702
0.01725	0.0214638
0.01775	0.0254621
0.01825	0.0297633
0.01875	0.0256958
0.01925	0.0311494
0.01975	0.0266055
0.02025	0.0302891
0.02075	0.0281552
0.02125	0.0283624
0.02175	0.0319691
0.02225	0.0218409
0.02275	0.0294283
0.02325	0.0288293
0.02375	0.0296822
0.02425	0.0279689
0.02475	0.0271202
0.02525	0.0357249
0.02575	0.0260273
0.02625	0.0259821
0.02675	0.0310503
0.02725	0.0320029
0.02775	0.0298538
0.02825	0.0361114
0.02875	0.0371991
0.02925	0.0300051
0.02975	0.0297015
0.03025	0.03584
0.03075	0.0320081
0.03125	0.0358568
0.03175	0.0455267
0.03225	0.0377168
0.03275	0.0405751
0.03325	0.0322546
0.03375	0.0356841
0.03425	0.0390048
0.03475	0.0342177
0.03525	0.0398498
0.03575	0.0356916
0.03625	0.0373096
0.03675	0.0339489
0.03725	0.0345516
0.03775	0.0388781
0.03825	0.0382215
0.03875	0.0338011
0.03925	0.0398459
0.03975	0.0400227
0.04025	0.0386789
0.04075	0.0351911
0.04125	0.0410995
0.04175	0.0381254
0.04225	0.0426277
0.04275	0.0438398
0.04325	0
0.04375	0.0401063
0.04425	0.042386
0.04475	0.0409678
0.04525	0.0431058
0.04575	0.0430333
0.04625	0.0421034
0.04675	0.0468456
0.04725	0.0456012
0.04775	0.0431026
0.04825	0.0472175
0.04875	0.0459925
0.04925	0.038718
0.04975	0.0434098
0.05025	0.0476535
0.05075	0.0492675
0.05125	0.0442344
0.05175	0.0438552
0.05225	0.0409053
0.05275	0.0449979
0.05325	0.0448885
0.05375	0.0429139
0.05425	0.0463343
0.05475	0.0405316
0.05525	0.0487176
0.05575	0.0476962
0.05625	0.0502087
0.05675	0.0420296
0.05725	0.0527104
0.05775	0.043572
0.05825	0.0484884
0.05875	0.0494686
0.05925	0.0496938
0.05975	0.0499353
0.06025	0.0503963
0.06075	0.0478343
0.06125	0.0548599
0.06175	0.0484832
0.06225	0.0509734
0.06275	0.0521065
0.06325	0.0567103
0.06375	0.0578854
0.06425	0.0557145
0.06475	0.055226
0.06525	0.0558959
0.06575	0.0556414
0.06625	0.0510693
0.06675	0.0556785
0.06725	0.0550267
0.06775	0.0574153
0.06825	0.0570994
0.06875	0.0595589
0.06925	0.0638646
0.06975	0.0590849
0.07025	0.0565209
0.07075	0.0566204
0.07125	0.0577541
0.07175	0.0610847
0.07225	0.0622935
0.07275	0.0596705
0.07325	0.0427991
0.07375	0.0592998
0.07425	0.0601022
0.07475	0.0595967
0.07525	0.0680367
0.07575	0.0663571
0.07625	0.0602083
0.07675	0.0641585
0.07725	0
0.07775	0.0630615
0.07825	0.0620398
0.07875	0.0589764
0.07925	0.0670486
0.07975	0.0708434
0.08025	0.0597725
0.08075	0.0678982
0.08125	0.0634754
0.08175	0.0681611
0.08225	0.0694411
0.08275	0.0712178
0.08325	0.0653676
0.08375	0.0713744
0.08425	0.0584503
0.08475	0.0670013
0.08525	0.0726384
0.08575	0.0657588
0.08625	0.0611899
0.08675	0.064524
0.08725	0.0687701
0.08775	0.0679422
0.08825	0.0691826
0.08875	0.0641182
0.08925	0.0694052
0.08975	0.0756213
0.09025	0.075105
0.09075	0.0783889
0.09125	0.0777473
0.09175	0.0804172
0.09225	0.0703447
0.09275	0.0725807
0.09325	0.0657208
0.09375	0.08433
0.09425	0.0742279
0.09475	0.0646759
0.09525	0.0690126
0.09575	0.079953
0.09625	0
0.09675	0.0774595
0.09725	0.0717725
0.09775	0.0763726
0.09825	0.0784893
0.09875	0.0712985
0.09925	0.0804928
0.09975	0.0757997
0.10025	0.079588
0.10075	0.077449
0.10125	0.0790994
0.10175	0.0868789
0.10225	0.0756026
0.10275	0.0855549
0.10325	0.079795
0.10375	0.0848659
0.10425	0.0843679
0.10475	0.0789635
0.10525	0.084633
0.10575	0.0742549
0.10625	0.0691672
0.10675	0.0810519
0.10725	0.0853324
0.10775	0.0812512
0.10825	0.0867106
0.10875	0.0812106
0.10925	0.081075
0.10975	0.0773976
0.11025	0.0803879
0.11075	0.0932822
0.11125	0.0868881
0.11175	0.0822227
0.11225	0.0796191
0.11275	0.0733846
0.11325	0.0714902
0.11375	0.0838464
0.11425	0.0963951
0.11475	0.0980474
0.11525	0.0832601
0.11575	0.0818596
0.11625	0.0943119
0.11675	0.0994153
0.11725	0.0965656
0.11775	0.0957672
0.11825	0.0833595
0.11875	0.10064
0.11925	0.0869489
0.11975	0.0908378
0.12025	0.0957776
0.12075	0.0969581
0.12125	0.0883399
0.12175	0.0921145
0.12225	0.0966283
0.12275	0.101086
0.12325	0.0795184
0.12375	0.0843454
0.12425	0.0917932
0.12475	0.0955403
0.12525	0.0954174
0.12575	0.092775
0.12625	0.0899634
0.12675	0.103075
0.12725	0.0965224
0.12775	0.1037
0.12825	0.0847339
0.12875	0.10705
0.12925	0.0912994
0.12975	0.10677
0.13025	0.109405
0.13075	0.099435
0.13125	0.104694
0.13175	0.109004
0.13225	0.105397
0.13275	0.0952385
0.13325	0.092741
0.13375	0.105874
0.13425	0.111461
0.13475	0.0934322
0.13525	0.0937408
0.13575	0.109066
0.13625	0.110645
0.13675	0.0810144
0.13725	0.120243
0.13775	0.105651
0.13825	0.112477
0.13875	0.0753245
0.13925	0.119396
0.13975	0.105361
0.14025	0.113906
0.14075	0.122714
0.14125	0.10015
0.14175	0.104378
0.14225	0.110334
0.14275	0.103193
0.14325	0
0.14375	0.109048
0.14425	0.12217
0.14475	0.115972
0.14525	0.119596
0.14575	0.111898
0.14625	0.115919
0.14675	0.115046
0.14725	0.101918
0.14775	0.106344
0.14825	0.125691
0.14875	0.1051
0.14925	0.105985
0.14975	0.10049
0.15025	0.0849034
0.15075	0.124447
0.15125	0.110408
0.15175	0.112199
0.15225	0.111205
0.15275	0.111376
0.15325	0.116322
0.15375	0.110897
0.15425	0.109973
0.15475	0.107833
0.15525	0.120507
0.15575	0.103876
0.15625	0.11281
0.15675	0.112588
0.15725	0.111938
0.15775	0.126768
0.15825	0.13108
0.15875	0.114951
0.15925	0.11384
0.15975	0.118692
0.16025	0.1163
0.16075	0.126789
0.16125	0.127226
0.16175	0.134682
0.16225	0.121971
0.16275	0.119905
0.16325	0.120236
0.16375	0.118854
0.16425	0.132045
0.16475	0.115698
0.16525	0.116165
0.16575	0.130342
0.16625	0.121361
0.16675	0.126799
0.16725	0.128564
0.16775	0.124161
0.16825	0.106674
0.16875	0.134256
0.16925	0.106127
0.16975	0.142629
0.17025	0.129551
0.17075	0.146695
0.17125	0.144003
0.17175	0.11202
0.17225	0.128778
0.17275	0.118498
0.17325	0.130988
0.17375	0.150819
0.17425	0.126631
0.17475	0.136794
0.17525	0.134696
0.17575	0.139596
0.17625	0.122784
0.17675	0.147466
0.17725	0.150612
0.17775	0.122267
0.17825	0.13442
0.17875	0.140361
0.17925	0.130844
0.17975	0.149915
0.18025	0.127761
0.18075	0.134209
0.18125	0.158316
0.18175	0.130965
0.18225	0.146209
0.18275	0.145312
0.18325	0.138107
0.18375	0.133346
0.18425	0.126043
0.18475	0.142105
0.18525	0.122408
0.18575	0.0987286
0.18625	0.141945
0.18675	0.125692
0.18725	0.139613
0.18775	0.132058
0.18825	0.123356
0.18875	0.135724
0.18925	0.144867
0.18975	0.15972
0.19025	0.138502
0.19075	0.162241
0.19125	0
0.19175	0.130587
0.19225	0.149426
0.19275	0.153382
0.19325	0.143012
0.19375	0.154944
0.19425	0.135539
0.19475	0.126339
0.19525	0.146959
0.19575	0.136005
0.19625	0.143244
0.19675	0.152167
0.19725	0.0889544
0.19775	0.156259
0.19825	0.130596
0.19875	0.138049
0.19925	0.135667
