!k=p1-p2
T_R	N 
0.00025	0.0153739
0.00075	0.02222
0.00125	0.0288617
0.00175	0.0171544
0.00225	0.0253721
0.00275	0.0187978
0.00325	0.0172849
0.00375	0.0266427
0.00425	0.0173638
0.00475	0.0204655
0.00525	0.0241784
0.00575	0.0154808
0.00625	0.0182535
0.00675	0.0225831
0.00725	0.0254341
0.00775	0.021664
0.00825	0.0231053
0.00875	0.0233415
0.00925	0.0246678
0.00975	0.0279381
0.01025	0.0249238
0.01075	0.0205935
0.01125	0.0208984
0.01175	0.0238039
0.01225	0.0204052
0.01275	0.0241506
0.01325	0.0227521
0.01375	0.0243401
0.01425	0.0250065
0.01475	0.0249451
0.01525	0.0267911
0.01575	0.021789
0.01625	0.0281518
0.01675	0.0265235
0.01725	0.0288038
0.01775	0.023023
0.01825	0.024098
0.01875	0.0318583
0.01925	0.026532
0.01975	0.0257324
0.02025	0.027277
0.02075	0.0316897
0.02125	0.0281737
0.02175	0.0278987
0.02225	0.0319449
0.02275	0.0309669
0.02325	0.0303133
0.02375	0.0340592
0.02425	0.0322683
0.02475	0.0321996
0.02525	0.0315379
0.02575	0.0384683
0.02625	0.0310396
0.02675	0.0338844
0.02725	0.0330944
0.02775	0.0303461
0.02825	0.0334021
0.02875	0.0374612
0.02925	0.033697
0.02975	0.0344325
0.03025	0.0384583
0.03075	0.0379514
0.03125	0.0402448
0.03175	0.0398077
0.03225	0.0387314
0.03275	0.0350406
0.03325	0.0379293
0.03375	0.0379629
0.03425	0.0420175
0.03475	0.0405887
0.03525	0.0401749
0.03575	0.0421883
0.03625	0.0415287
0.03675	0.0409164
0.03725	0.0422929
0.03775	0.0427554
0.03825	0.0443433
0.03875	0.0431351
0.03925	0.0428691
0.03975	0.0437542
0.04025	0.0458603
0.04075	0.0479714
0.04125	0.0462489
0.04175	0.0471818
0.04225	0.047085
0.04275	0.0463911
0.04325	0.0485255
0.04375	0.0513651
0.04425	0.050839
0.04475	0.0505699
0.04525	0.0478735
0.04575	0.0501852
0.04625	0.0552731
0.04675	0.0518479
0.04725	0.0505956
0.04775	0.0524431
0.04825	0.0528916
0.04875	0.0543492
0.04925	0.0553522
0.04975	0.0532763
0.05025	0.055346
0.05075	0.0557005
0.05125	0.0562727
0.05175	0.0587558
0.05225	0.0545186
0.05275	0.0579606
0.05325	0.0542731
0.05375	0.0550512
0.05425	0.0570858
0.05475	0.0592566
0.05525	0.0591474
0.05575	0.0611987
0.05625	0.0603054
0.05675	0.0605965
0.05725	0.0610049
0.05775	0.061497
