!k=p1-p2
T_R	N 
0.00025	0.0205986
0.00075	0.0274057
0.00125	0.0258098
0.00175	0.0209721
0.00225	0.029993
0.00275	0.0208872
0.00325	0.0200629
0.00375	0.0286322
0.00425	0.0207592
0.00475	0.0172851
0.00525	0.0231848
0.00575	0.0116526
0.00625	0.0218963
0.00675	0.0342368
0.00725	0.0177103
0.00775	0.0165449
0.00825	0.0211733
0.00875	0.0266907
0.00925	0.0346698
0.00975	0.0247138
0.01025	0.0287384
0.01075	0.0217255
0.01125	0.0253121
0.01175	0.0267392
0.01225	0.0194182
0.01275	0.0213083
0.01325	0.0353246
0.01375	0.0289748
0.01425	0.0243146
0.01475	0.0271228
0.01525	0.0274003
0.01575	0.0284814
0.01625	0.0277285
0.01675	0.0275696
0.01725	0.0237151
0.01775	0.0204703
0.01825	0.0322359
0.01875	0.0282551
0.01925	0.030189
0.01975	0.0239778
0.02025	0.0304392
0.02075	0.0286861
0.02125	0.0293621
0.02175	0.0279856
0.02225	0.0271251
0.02275	0.0323657
0.02325	0.0287303
0.02375	0.0289827
0.02425	0.0352354
0.02475	0.0302122
0.02525	0.0345983
0.02575	0.0309154
0.02625	0.0320882
0.02675	0.0325137
0.02725	0.0257923
0.02775	0.0334102
0.02825	0.0356724
0.02875	0.0240351
0.02925	0.0318738
0.02975	0.0385583
0.03025	0.0357671
0.03075	0.0364702
0.03125	0.0379872
0.03175	0.0309722
0.03225	0.0289799
0.03275	0.0324781
0.03325	0.0318819
0.03375	0.0394795
0.03425	0.0358809
0.03475	0.0366125
0.03525	0.0383447
0.03575	0.0323509
0.03625	0.0378574
0.03675	0.0353764
0.03725	0.0339149
0.03775	0.0390587
0.03825	0.0339439
0.03875	0.038279
0.03925	0.0355313
0.03975	0.0378818
0.04025	0.0383127
0.04075	0.0373815
0.04125	0.0373033
0.04175	0.0372708
0.04225	0.0446135
0.04275	0.045272
0.04325	0.0404533
0.04375	0.0393906
0.04425	0.0381269
0.04475	0.0380584
0.04525	0.0463309
0.04575	0.0418894
0.04625	0.0470809
0.04675	0.039232
0.04725	0.0432667
0.04775	0.0482739
0.04825	0.0427255
0.04875	0.0411668
0.04925	0.0472963
0.04975	0.041992
0.05025	0.0420326
0.05075	0.0461192
0.05125	0.0485299
0.05175	0.0454267
0.05225	0.0430925
0.05275	0.0488374
0.05325	0.0406799
0.05375	0.0475269
0.05425	0.0477096
0.05475	0.0480097
0.05525	0.0553216
0.05575	0.0437968
0.05625	0.0483964
0.05675	0.0501113
0.05725	0.053516
0.05775	0.0475545
0.05825	0.0339586
0.05875	0.0547649
0.05925	0.052785
0.05975	0.0544336
0.06025	0.0468076
0.06075	0.0473282
0.06125	0.050104
0.06175	0.0527673
