!k=p1-p2
T_R	N 
0.00025	0.0180393
0.00075	0.020137
0.00125	0.0199593
0.00175	0.0240854
0.00225	0.0213156
0.00275	0.0285886
0.00325	0.0259436
0.00375	0.0197718
0.00425	0.017694
0.00475	0.021438
0.00525	0.0177262
0.00575	0.021338
0.00625	0.0190703
0.00675	0.0252038
0.00725	0.0170924
0.00775	0.02044
0.00825	0.0202275
0.00875	0.0171409
0.00925	0.0263799
0.00975	0.0201331
0.01025	0.0271471
0.01075	0.027271
0.01125	0.0239135
0.01175	0.0257948
0.01225	0.0307189
0.01275	0.0208977
0.01325	0.0242289
0.01375	0.0238972
0.01425	0.0266174
0.01475	0.0299612
0.01525	0.0299003
0.01575	0.0238905
0.01625	0.0304699
0.01675	0.0269218
0.01725	0.024783
0.01775	0.0286979
0.01825	0.0245994
0.01875	0.0214772
0.01925	0.02316
0.01975	0.0286671
0.02025	0.0289324
0.02075	0.0293899
0.02125	0.0302467
0.02175	0.0342753
0.02225	0.0294959
0.02275	0.0301226
0.02325	0.028901
0.02375	0.0336034
0.02425	0.0324648
0.02475	0.0271197
0.02525	0.0370268
0.02575	0.0359686
0.02625	0.0306726
0.02675	0.0344305
0.02725	0.0308642
0.02775	0.037158
0.02825	0.0331474
0.02875	0.037021
0.02925	0.0375375
0.02975	0.0367392
0.03025	0.0368771
0.03075	0.0330252
0.03125	0.0401153
0.03175	0.0397938
0.03225	0.0401843
0.03275	0.0371024
0.03325	0.0382472
0.03375	0.0401888
0.03425	0.0398365
0.03475	0.0408836
0.03525	0.0396784
0.03575	0.0429058
0.03625	0.0419927
0.03675	0.0434913
0.03725	0.0444719
0.03775	0.0415983
0.03825	0.0456165
0.03875	0.0429926
0.03925	0.0427444
0.03975	0.0452331
0.04025	0.0448558
0.04075	0.0450415
0.04125	0.0446067
0.04175	0.0494518
0.04225	0.0476052
0.04275	0.0479364
0.04325	0.0483723
0.04375	0.0485743
0.04425	0.0500288
0.04475	0.0525702
0.04525	0.0478327
0.04575	0.0492282
0.04625	0.0513189
0.04675	0.0518306
0.04725	0.0496473
0.04775	0.0504368
0.04825	0.0513629
0.04875	0.0527222
0.04925	0.0587151
0.04975	0.0533933
0.05025	0.0545813
0.05075	0.0545102
0.05125	0.0580206
0.05175	0.0564132
0.05225	0.0541366
0.05275	0.0573333
0.05325	0.0568725
0.05375	0.0585569
0.05425	0.0568293
0.05475	0.0581375
0.05525	0.0585543
0.05575	0.0579268
0.05625	0.0597768
0.05675	0.0611136
0.05725	0.0616338
0.05775	0.0632414
0.05825	0.0628452
0.05875	0.0620903
0.05925	0.0641361
0.05975	0.0632752
0.06025	0.0646745
0.06075	0.0644695
0.06125	0.0655793
0.06175	0.064317
0.06225	0.0667026
0.06275	0.067567
0.06325	0.0669884
0.06375	0.0663482
0.06425	0.070888
0.06475	0.0681137
0.06525	0.0670818
0.06575	0.0699449
0.06625	0.0679916
0.06675	0.0707641
0.06725	0.0706457
0.06775	0.0715403
0.06825	0.0698911
0.06875	0.0714026
0.06925	0.0752287
0.06975	0.0720797
0.07025	0.0741449
0.07075	0.074234
0.07125	0.0744906
0.07175	0.0770997
0.07225	0.0757635
0.07275	0.0767867
0.07325	0.0754007
0.07375	0.0764997
0.07425	0.0767075
0.07475	0.0767626
0.07525	0.0781494
0.07575	0.0783312
0.07625	0.0798698
0.07675	0.0798839
0.07725	0.0796545
0.07775	0.0805563
0.07825	0.0806565
0.07875	0.0805684
0.07925	0.082056
0.07975	0.0815272
0.08025	0.0842588
0.08075	0.0835035
0.08125	0.0854857
0.08175	0.083613
0.08225	0.0858226
0.08275	0.0866887
0.08325	0.086263
0.08375	0.0875
0.08425	0.0861271
0.08475	0.0877556
0.08525	0.0875672
0.08575	0.0887844
0.08625	0.0880433
0.08675	0.0886414
0.08725	0.0906183
0.08775	0.0890243
0.08825	0.0917353
0.08875	0.0906278
