!k=p1-p2
T_R	N 
0.00025	0.0220103
0.00075	0.0276737
0.00125	0.0165565
0.00175	0.0221817
0.00225	0.0271417
0.00275	0.0307457
0.00325	0.0195859
0.00375	0.0164155
0.00425	0.0214104
0.00475	0.0240415
0.00525	0.0170391
0.00575	0.00837959
0.00625	0.0169249
0.00675	0.0189727
0.00725	0.0162807
0.00775	0.0233189
0.00825	0.0211688
0.00875	0.022406
0.00925	0.0246435
0.00975	0.0218469
0.01025	0.0283049
0.01075	0.0108591
0.01125	0.0193686
0.01175	0.0224357
0.01225	0.0205228
0.01275	0.0139787
0.01325	0.0239363
0.01375	0.0235956
0.01425	0.0238355
0.01475	0.0243022
0.01525	0.0241764
0.01575	0.0215209
0.01625	0.0235039
0.01675	0.0251147
0.01725	0.0179195
0.01775	0.0268065
0.01825	0.0277774
0.01875	0.0317756
0.01925	0.0250045
0.01975	0.028544
0.02025	0.025861
0.02075	0.0343401
0.02125	0.0315002
0.02175	0.0279424
0.02225	0.0345242
0.02275	0.0347974
0.02325	0.0313837
0.02375	0.0314629
0.02425	0.0328689
0.02475	0.0306268
0.02525	0.0323529
0.02575	0.0370794
0.02625	0.0335085
0.02675	0.0352965
0.02725	0.0337612
0.02775	0.0353077
0.02825	0.0360503
0.02875	0.0357716
0.02925	0.0378555
0.02975	0.0377778
0.03025	0.0383146
0.03075	0.0387892
0.03125	0.038325
0.03175	0.0371164
0.03225	0.0351708
0.03275	0.0391914
0.03325	0.0405823
0.03375	0.0442447
0.03425	0.040137
0.03475	0.0433035
0.03525	0.0396956
0.03575	0.0405316
0.03625	0.0436213
0.03675	0.0433302
0.03725	0.0406758
0.03775	0.0436111
0.03825	0.0461106
0.03875	0.0461615
0.03925	0.0439866
0.03975	0.042059
0.04025	0.0471067
0.04075	0.0453162
0.04125	0.0442351
0.04175	0.0470135
0.04225	0.0481902
0.04275	0.0488265
0.04325	0.0480564
0.04375	0.0500398
0.04425	0.051269
0.04475	0.0507028
0.04525	0.0476658
0.04575	0.0499924
0.04625	0.049566
0.04675	0.0524819
0.04725	0.0531271
0.04775	0.0519913
0.04825	0.0531125
0.04875	0.0534839
0.04925	0.0551422
0.04975	0.0533622
0.05025	0.0538948
0.05075	0.0549761
0.05125	0
0.05175	0.0555174
0.05225	0.0573448
0.05275	0.0596516
0.05325	0.0568113
0.05375	0.059237
0.05425	0.057181
0.05475	0.0591839
0.05525	0.059371
0.05575	0.0584801
0.05625	0.0588895
0.05675	0.0606107
0.05725	0.0618812
0.05775	0.0627685
0.05825	0.0617396
0.05875	0.0628774
0.05925	0.0648159
0.05975	0.0631143
0.06025	0.0642857
0.06075	0.0642184
0.06125	0.0639797
0.06175	0.0654691
0.06225	0.065593
0.06275	0.0638542
0.06325	0.0666141
0.06375	0.0666089
0.06425	0.0689708
0.06475	0.0675661
0.06525	0.0690117
0.06575	0.0675073
0.06625	0.0686921
0.06675	0.0736681
0.06725	0.0724659
0.06775	0.0702284
0.06825	0.0701012
0.06875	0.0716882
0.06925	0.0728211
0.06975	0.0738478
0.07025	0.073296
0.07075	0.0727948
0.07125	0.0741916
0.07175	0
0.07225	0.0749568
0.07275	0.0752349
0.07325	0.0748331
0.07375	0.0778804
0.07425	0.0779079
0.07475	0.077244
0.07525	0.0786707
0.07575	0.0789828
0.07625	0.0781397
0.07675	0.0798035
0.07725	0.0798883
0.07775	0.0809697
0.07825	0.0810886
0.07875	0.0810777
0.07925	0.0825472
0.07975	0.0832268
0.08025	0.081707
0.08075	0.0832624
0.08125	0.0830436
0.08175	0.0859561
0.08225	0.0865543
0.08275	0.0859919
0.08325	0.0863627
0.08375	0.0861636
0.08425	0.0868517
0.08475	0.0881578
0.08525	0.0881578
0.08575	0.0878179
0.08625	0.0875551
0.08675	0.0878881
0.08725	0.0914423
0.08775	0.091649
0.08825	0.0902911
0.08875	0.0895818
0.08925	0.0893907
0.08975	0.0952607
0.09025	0.0919762
0.09075	0.0928173
0.09125	0.0931378
0.09175	0.0940297
0.09225	0.0960991
0.09275	0.0951496
0.09325	0.0949019
0.09375	0
0.09425	0.0967889
0.09475	0.0970126
0.09525	0.0993089
0.09575	0.0979983
0.09625	0.0980298
0.09675	0.0991795
0.09725	0.0992035
0.09775	0.0997924
0.09825	0.101306
0.09875	0.100022
0.09925	0.101157
0.09975	0.103179
0.10025	0.102526
0.10075	0.103618
0.10125	0.102624
0.10175	0.103658
0.10225	0.104545
0.10275	0.104792
0.10325	0.105181
0.10375	0.105135
0.10425	0.10703
0.10475	0.107402
0.10525	0.107689
0.10575	0.106623
0.10625	0.107131
0.10675	0.109113
0.10725	0.109841
0.10775	0.110508
0.10825	0.109628
0.10875	0.111439
0.10925	0.113459
0.10975	0.11089
0.11025	0.113174
0.11075	0.111944
0.11125	0.113035
0.11175	0.113363
0.11225	0.114425
0.11275	0.11388
0.11325	0.114989
0.11375	0.116331
0.11425	0.115771
0.11475	0.116789
0.11525	0.117846
0.11575	0.117327
0.11625	0.11868
0.11675	0.119008
0.11725	0.119504
0.11775	0.119605
0.11825	0.119804
0.11875	0.120946
0.11925	0.119798
0.11975	0.121404
0.12025	0.121388
0.12075	0.122576
0.12125	0.123829
0.12175	0.12286
0.12225	0.124165
0.12275	0.123388
0.12325	0.125403
0.12375	0.125191
0.12425	0.127309
0.12475	0.127954
0.12525	0.126341
0.12575	0.127401
0.12625	0.12708
0.12675	0.128811
0.12725	0.127578
0.12775	0.130552
0.12825	0.129605
0.12875	0.131069
0.12925	0.131089
0.12975	0
0.13025	0.13181
0.13075	0.133707
0.13125	0.133083
0.13175	0.134442
0.13225	0.134881
0.13275	0.133944
0.13325	0.13411
0.13375	0.135518
0.13425	0.135516
0.13475	0.136347
0.13525	0.137292
0.13575	0.137016
0.13625	0.138319
0.13675	0.138114
0.13725	0.138028
0.13775	0.139117
0.13825	0.140046
0.13875	0.140042
0.13925	0.141362
0.13975	0.141706
0.14025	0.141248
0.14075	0.141985
0.14125	0.142674
0.14175	0.143233
0.14225	0.144686
0.14275	0.144951
0.14325	0.145001
0.14375	0.146071
0.14425	0.145522
0.14475	0.146029
0.14525	0.146567
0.14575	0.146626
0.14625	0.147699
0.14675	0.148709
0.14725	0.150737
0.14775	0.149167
0.14825	0.149646
0.14875	0.149889
0.14925	0.150794
0.14975	0.151597
0.15025	0.152018
0.15075	0.15274
0.15125	0.152174
0.15175	0.153755
0.15225	0.153314
0.15275	0
0.15325	0.155004
0.15375	0.155166
0.15425	0.15662
0.15475	0.155398
0.15525	0.156926
0.15575	0.157437
0.15625	0.157811
0.15675	0.158296
0.15725	0.158146
0.15775	0.158914
0.15825	0.160343
0.15875	0.160192
0.15925	0.159802
0.15975	0.160578
0.16025	0.161796
0.16075	0.162039
0.16125	0.163822
0.16175	0.162614
0.16225	0.164027
0.16275	0.164152
0.16325	0.164221
0.16375	0.165202
0.16425	0.16529
0.16475	0.166076
0.16525	0.166585
0.16575	0.167989
0.16625	0.168001
0.16675	0
0.16725	0.169014
0.16775	0.168702
0.16825	0.169966
0.16875	0.171256
0.16925	0.170443
0.16975	0.171375
0.17025	0.171003
0.17075	0.172267
0.17125	0.172233
0.17175	0.17295
0.17225	0.173182
0.17275	0.174825
0.17325	0.174778
0.17375	0.174174
0.17425	0.176427
0.17475	0.175942
0.17525	0.176379
0.17575	0.177345
0.17625	0.178015
0.17675	0.177859
0.17725	0.178214
0.17775	0.179222
0.17825	0.179467
0.17875	0.179935
0.17925	0.180729
0.17975	0.180068
0.18025	0.182259
0.18075	0.182285
0.18125	0.183115
0.18175	0.183002
0.18225	0.183517
0.18275	0.183896
0.18325	0.184478
0.18375	0.183949
0.18425	0.185613
0.18475	0.186073
0.18525	0.186135
0.18575	0.186753
0.18625	0.187626
0.18675	0.188035
0.18725	0.187865
0.18775	0.189641
0.18825	0.189181
0.18875	0.188977
0.18925	0.190618
0.18975	0.191181
0.19025	0.191194
0.19075	0.191322
0.19125	0.192841
0.19175	0.191747
0.19225	0.193873
0.19275	0.19434
0.19325	0.194842
0.19375	0.194502
0.19425	0.195394
0.19475	0.196012
0.19525	0.197119
0.19575	0.196299
0.19625	0.197551
0.19675	0.19833
0.19725	0.197559
0.19775	0.198701
0.19825	0.199312
0.19875	0.200205
0.19925	0.199972
