!k=p1-p2
T_R	N 
0.00025	0.0169949
0.00075	0.025339
0.00125	0.0317511
0.00175	0.0190743
0.00225	0.0200017
0.00275	0.0239159
0.00325	0.0202022
0.00375	0.0246608
0.00425	0.0208691
0.00475	0.0263582
0.00525	0.0233762
0.00575	0.0212491
0.00625	0.0237251
0.00675	0.0189132
0.00725	0.0190235
0.00775	0.0251089
0.00825	0.0312028
0.00875	0.0181301
0.00925	0.0230627
0.00975	0.0272177
0.01025	0.0297665
0.01075	0.0234244
0.01125	0.0251102
0.01175	0.0181618
0.01225	0.0202728
0.01275	0.0241215
0.01325	0.020063
0.01375	0.027542
0.01425	0.025336
0.01475	0.0191462
0.01525	0.0271352
0.01575	0.0306646
0.01625	0.0264221
0.01675	0.0248154
0.01725	0.028157
0.01775	0.0317604
0.01825	0.0224532
0.01875	0.0291415
0.01925	0.0268651
0.01975	0.029334
0.02025	0.0281694
0.02075	0.0269607
0.02125	0.0289347
0.02175	0.0296859
0.02225	0.0292703
0.02275	0.0271395
0.02325	0.0313805
0.02375	0.0308207
0.02425	0.0310396
0.02475	0.0254697
0.02525	0.0304196
0.02575	0.0293595
0.02625	0.0279348
0.02675	0.0312219
0.02725	0.0337902
0.02775	0.0275062
0.02825	0.0377526
0.02875	0.0363229
0.02925	0.0286669
0.02975	0.0223305
0.03025	0.0364883
0.03075	0.033937
0.03125	0.0348056
0.03175	0.0347498
0.03225	0.0282282
0.03275	0.0352275
0.03325	0.0406627
0.03375	0.0374838
0.03425	0.0399844
0.03475	0.0354845
0.03525	0.0308176
0.03575	0.039863
0.03625	0.0359057
0.03675	0.0372651
0.03725	0.040934
0.03775	0.0372163
0.03825	0.0396481
0.03875	0.0443755
0.03925	0.0386166
0.03975	0.0427031
0.04025	0.0407928
0.04075	0.0441626
0.04125	0.0386484
0.04175	0.0438065
0.04225	0.0379345
0.04275	0.0368913
0.04325	0.0383376
0.04375	0.0412306
0.04425	0.0417057
0.04475	0.0429334
0.04525	0.0422222
0.04575	0.0411694
0.04625	0.042477
0.04675	0.0426593
0.04725	0.0418963
0.04775	0.0419153
0.04825	0.0461779
0.04875	0.0417033
0.04925	0.0460023
0.04975	0.0404917
0.05025	0.043547
0.05075	0.0446305
0.05125	0.0454699
0.05175	0.0482829
0.05225	0.0487581
0.05275	0.0506028
0.05325	0.0467226
0.05375	0.0494133
0.05425	0.0471254
0.05475	0.0507335
0.05525	0.0477552
0.05575	0.053256
0.05625	0.0502587
0.05675	0.0518408
0.05725	0.0476656
0.05775	0.0530543
0.05825	0.0498339
0.05875	0.0535286
0.05925	0.0492562
0.05975	0.0488295
0.06025	0.0554969
0.06075	0.0442745
0.06125	0.0508161
0.06175	0.0532318
0.06225	0.0504617
0.06275	0.0537952
0.06325	0.0553811
0.06375	0.0576773
0.06425	0.0457787
0.06475	0.0484257
