!k=p1-p2
T_R	N 
0.00025	0.0193492
0.00075	0.0214562
0.00125	0.0158009
0.00175	0.0231033
0.00225	0.0156137
0.00275	0.0174025
0.00325	0.0163552
0.00375	0.0217765
0.00425	0.0198403
0.00475	0.0236948
0.00525	0.0145708
0.00575	0.0233191
0.00625	0.0114088
0.00675	0.0222985
0.00725	0.0225927
0.00775	0.0166033
0.00825	0.0224612
0.00875	0.0188558
0.00925	0.0253324
0.00975	0.0171314
0.01025	0.0273397
0.01075	0.0195899
0.01125	0.023785
0.01175	0.0211719
0.01225	0.0269351
0.01275	0.0238189
0.01325	0.0242562
0.01375	0.0245386
0.01425	0.0252271
0.01475	0.0285023
0.01525	0.0257509
0.01575	0.0290248
0.01625	0.0237612
0.01675	0.0224482
0.01725	0.0249933
0.01775	0.0260962
0.01825	0.0278923
0.01875	0.0279509
0.01925	0.0283626
0.01975	0.0265809
0.02025	0.0265833
0.02075	0.0291743
0.02125	0.0283852
0.02175	0.0311422
0.02225	0.0289364
0.02275	0.0286103
0.02325	0.0329109
0.02375	0.0322476
0.02425	0.0300303
0.02475	0.0332913
0.02525	0.0308528
0.02575	0.0323473
0.02625	0.0348033
0.02675	0.0367091
0.02725	0.0390525
0.02775	0.0321096
0.02825	0.0350763
0.02875	0.0351178
0.02925	0.0353426
0.02975	0.0381258
0.03025	0.0393895
0.03075	0.0373343
0.03125	0.0361432
0.03175	0.0402453
0.03225	0.0385106
0.03275	0.039183
0.03325	0.0363877
0.03375	0.040473
0.03425	0.0396522
0.03475	0.0416498
0.03525	0.037599
0.03575	0.0433246
0.03625	0.0454885
0.03675	0.0412845
0.03725	0.0438636
0.03775	0.044872
0.03825	0.043864
0.03875	0.0400192
0.03925	0.0454872
0.03975	0.0465895
0.04025	0.0454839
0.04075	0.0475594
0.04125	0.0449264
0.04175	0.0463686
0.04225	0.0460498
0.04275	0.048019
0.04325	0.0504187
0.04375	0.0489006
0.04425	0.0507671
0.04475	0.0495204
0.04525	0.0494793
0.04575	0.0479783
0.04625	0.0506799
0.04675	0.0512998
0.04725	0.0505787
0.04775	0.0515154
0.04825	0.0534561
0.04875	0.050876
0.04925	0.0532649
0.04975	0.0538096
0.05025	0.0535321
0.05075	0.0558517
0.05125	0.0530888
0.05175	0.0579894
0.05225	0.0557427
0.05275	0.0613139
0.05325	0.0564347
0.05375	0.0594928
0.05425	0.0554739
0.05475	0.0593397
0.05525	0.0591694
0.05575	0.0574955
0.05625	0.0604042
0.05675	0.0622517
0.05725	0.0603361
0.05775	0.0609369
0.05825	0.0602424
0.05875	0.0623539
0.05925	0.0600304
0.05975	0.062356
0.06025	0.0659815
0.06075	0.0651717
0.06125	0.0662774
0.06175	0.0645937
0.06225	0.0644969
0.06275	0.0660539
0.06325	0.0655076
0.06375	0.0682689
0.06425	0.0669923
0.06475	0.0673438
0.06525	0.0690431
0.06575	0.0674242
0.06625	0.0690596
0.06675	0.0694238
0.06725	0.0699705
0.06775	0.0709612
0.06825	0.0717596
0.06875	0.0709638
0.06925	0.0725648
0.06975	0.0736697
0.07025	0.0738814
0.07075	0.0734718
0.07125	0.0764884
0.07175	0.0749513
0.07225	0.0742736
0.07275	0.075546
0.07325	0.0759188
0.07375	0.0762323
0.07425	0.0766696
0.07475	0.0769647
0.07525	0.0766933
0.07575	0.0789879
0.07625	0.0788284
0.07675	0.0784222
0.07725	0.081845
0.07775	0.0802705
0.07825	0.0802809
0.07875	0.0817641
0.07925	0.0839934
0.07975	0.082314
0.08025	0.0822707
0.08075	0.0850722
0.08125	0.083264
0.08175	0.0850103
0.08225	0.0849248
0.08275	0.0868769
0.08325	0.0854652
0.08375	0.0871701
0.08425	0.0873708
0.08475	0.0891409
0.08525	0.0888268
0.08575	0.0879938
0.08625	0.089291
0.08675	0.0897807
0.08725	0.0879778
0.08775	0.0901708
0.08825	0.0912218
0.08875	0.0921844
0.08925	0.0911911
0.08975	0.0914969
0.09025	0.0930947
0.09075	0.0933413
0.09125	0.0941639
0.09175	0.0935847
0.09225	0.0935164
0.09275	0.0947984
0.09325	0.0945111
0.09375	0.0966173
0.09425	0.0952746
0.09475	0.0974481
0.09525	0.0962068
0.09575	0.0973925
0.09625	0.0982246
0.09675	0.0994996
0.09725	0.100226
0.09775	0.102209
0.09825	0.102269
0.09875	0.100442
0.09925	0.100514
0.09975	0.102652
0.10025	0.103297
0.10075	0.104851
0.10125	0.103437
0.10175	0.103934
0.10225	0.105632
0.10275	0.104929
