!k=p1-p2
T_R	N 
0.00025	0.0200667
0.00075	0.0199002
0.00125	0.022311
0.00175	0.021514
0.00225	0.0247339
0.00275	0.0295207
0.00325	0.0235368
0.00375	0.0198328
0.00425	0.0252768
0.00475	0.0163414
0.00525	0.0171527
0.00575	0.0149488
0.00625	0.0198919
0.00675	0.0185631
0.00725	0.0214048
0.00775	0.0211598
0.00825	0.0191305
0.00875	0.0186101
0.00925	0.0192959
0.00975	0.0218767
0.01025	0.024359
0.01075	0.0268836
0.01125	0.0230493
0.01175	0.0157848
0.01225	0.0209448
0.01275	0.0262107
0.01325	0.0247348
0.01375	0.0237156
0.01425	0.0315521
0.01475	0.0209746
0.01525	0.0238696
0.01575	0.0253827
0.01625	0.0293217
0.01675	0.0267794
0.01725	0.0287423
0.01775	0.0255165
0.01825	0.0311967
0.01875	0.0294042
0.01925	0.0308918
0.01975	0.0356262
0.02025	0.031956
0.02075	0.0305472
0.02125	0.0326529
0.02175	0.0267776
0.02225	0.0293587
0.02275	0.028322
0.02325	0.0295096
0.02375	0.0382981
0.02425	0
0.02475	0.0347103
0.02525	0.0340312
0.02575	0.034509
0.02625	0.0305369
0.02675	0.0350165
0.02725	0.0350676
0.02775	0.0344267
0.02825	0.0382733
0.02875	0.0348786
0.02925	0.0359476
0.02975	0.037303
0.03025	0.0370335
0.03075	0.039932
0.03125	0.0341449
0.03175	0.0404904
0.03225	0.0390034
0.03275	0.0373366
0.03325	0.0382195
0.03375	0.0417391
0.03425	0.038406
0.03475	0.0422383
0.03525	0.0401286
0.03575	0.044574
0.03625	0.0492524
0.03675	0.0427098
0.03725	0.039806
0.03775	0.0433819
0.03825	0.0426389
0.03875	0.0431514
0.03925	0.0445668
0.03975	0.0472862
0.04025	0.042171
0.04075	0.0459199
0.04125	0.0486676
0.04175	0.0472277
0.04225	0.0455272
0.04275	0.0472373
0.04325	0.0482239
0.04375	0.0474353
0.04425	0.0485883
0.04475	0.0495879
0.04525	0.0499704
0.04575	0.0510959
0.04625	0.0509264
0.04675	0.0525727
0.04725	0.0559476
0.04775	0.0516114
0.04825	0.0541211
0.04875	0.0522717
0.04925	0.0548634
0.04975	0.0509379
0.05025	0.0555448
0.05075	0.0567452
0.05125	0.0559289
0.05175	0.056436
0.05225	0.0573182
0.05275	0.0583426
0.05325	0.0546763
0.05375	0.0578771
0.05425	0.0575698
0.05475	0.0577557
0.05525	0.0593714
0.05575	0.0594803
0.05625	0.060898
0.05675	0.0626558
0.05725	0.0607134
0.05775	0.0626651
0.05825	0.0622129
0.05875	0.06505
0.05925	0.0638854
0.05975	0.0644907
0.06025	0.0630455
0.06075	0.0629309
0.06125	0.0641675
0.06175	0.0657357
0.06225	0.0660741
0.06275	0.0672942
0.06325	0.0676102
0.06375	0.0659537
0.06425	0.0667937
0.06475	0.0693434
0.06525	0.0687094
0.06575	0.070924
0.06625	0.069994
0.06675	0.0694086
0.06725	0.0688241
0.06775	0.0708196
0.06825	0.0711829
0.06875	0.0725902
0.06925	0.0717305
0.06975	0.0734522
0.07025	0.0740222
0.07075	0.0745361
0.07125	0.0751037
0.07175	0.075005
0.07225	0.0752979
0.07275	0.0753371
0.07325	0.076651
0.07375	0.0784924
0.07425	0.0763693
0.07475	0.0788412
0.07525	0.077788
0.07575	0.0799529
0.07625	0.0797356
0.07675	0.0810637
0.07725	0.0806132
0.07775	0.0819769
0.07825	0.0814192
0.07875	0.0820132
0.07925	0.0821903
0.07975	0.083048
0.08025	0.0838681
0.08075	0.0838466
0.08125	0.0845729
0.08175	0.084045
0.08225	0.0844652
0.08275	0.0847217
0.08325	0.0854662
0.08375	0.0886207
0.08425	0.0876035
0.08475	0.0871355
0.08525	0.0861334
0.08575	0.0886306
0.08625	0.088638
0.08675	0.089328
0.08725	0.0889602
0.08775	0.0909603
0.08825	0.092214
0.08875	0.0927998
0.08925	0.0909127
0.08975	0.0922877
0.09025	0.093057
0.09075	0.0923983
0.09125	0.0925587
0.09175	0.0929993
0.09225	0.0943152
0.09275	0.0948923
0.09325	0
0.09375	0.096205
0.09425	0.0963779
0.09475	0.0969929
0.09525	0.0972346
0.09575	0.101716
0.09625	0.0989837
0.09675	0.0990689
0.09725	0.100984
0.09775	0.0999891
0.09825	0.101174
0.09875	0.102577
0.09925	0.102934
0.09975	0.10274
0.10025	0.102333
0.10075	0.102942
0.10125	0.102725
0.10175	0.103558
0.10225	0.103893
0.10275	0.105134
0.10325	0.105898
0.10375	0.106453
0.10425	0.10641
0.10475	0.106586
0.10525	0.107595
0.10575	0.107062
0.10625	0.107532
0.10675	0.109197
0.10725	0.107869
0.10775	0.109187
0.10825	0.110467
0.10875	0.110223
0.10925	0.111734
0.10975	0.111551
0.11025	0.112712
0.11075	0.112993
0.11125	0.112631
0.11175	0.113296
0.11225	0.114324
0.11275	0.115388
0.11325	0.115813
0.11375	0.115371
0.11425	0.118118
0.11475	0.117157
0.11525	0.116715
0.11575	0.117646
0.11625	0.119465
0.11675	0.118546
0.11725	0.119465
0.11775	0.11953
0.11825	0.12031
0.11875	0.121786
0.11925	0.122305
0.11975	0.121381
0.12025	0.123004
0.12075	0.123619
0.12125	0.122869
0.12175	0.123548
0.12225	0.123129
0.12275	0.12425
0.12325	0.124518
0.12375	0.125503
0.12425	0.125281
0.12475	0.125893
0.12525	0.12713
0.12575	0.128231
0.12625	0.12698
0.12675	0.128944
0.12725	0.128389
0.12775	0.129581
0.12825	0.130907
0.12875	0.13126
0.12925	0.132402
0.12975	0.130937
0.13025	0.132853
0.13075	0.13263
0.13125	0.132139
0.13175	0.132619
0.13225	0.134088
0.13275	0.136213
0.13325	0.134882
0.13375	0.135461
0.13425	0.135717
0.13475	0.136264
0.13525	0.137242
0.13575	0.137391
0.13625	0.137697
0.13675	0.139424
0.13725	0.138391
0.13775	0.140105
0.13825	0.13889
0.13875	0.140571
0.13925	0.14099
0.13975	0.140689
0.14025	0.142599
0.14075	0.142019
0.14125	0.142656
0.14175	0.143387
0.14225	0.143732
0.14275	0.145023
0.14325	0.144504
0.14375	0.144947
0.14425	0.146113
0.14475	0.145916
0.14525	0
0.14575	0.147516
0.14625	0.148213
0.14675	0.14815
0.14725	0.148483
0.14775	0.148975
0.14825	0.150304
0.14875	0.149802
0.14925	0.150944
0.14975	0.150974
0.15025	0.152209
0.15075	0.152323
0.15125	0.152984
0.15175	0.154057
0.15225	0.152916
0.15275	0.154094
0.15325	0.154635
0.15375	0.155053
0.15425	0.156023
0.15475	0
0.15525	0.158521
0.15575	0.157826
0.15625	0.157205
0.15675	0.158749
0.15725	0.159992
0.15775	0
0.15825	0.159373
0.15875	0.159845
0.15925	0.161132
0.15975	0.159967
0.16025	0.161218
0.16075	0.161592
0.16125	0.163928
0.16175	0.163331
0.16225	0.164204
0.16275	0.164463
0.16325	0.165418
0.16375	0.166851
0.16425	0.165368
0.16475	0.166028
