!k=p1-p2
T_R	N 
0.00025	0.0231791
0.00075	0.0230932
0.00125	0.0225807
0.00175	0.0234641
0.00225	0.0222869
0.00275	0.0226186
0.00325	0.0231471
0.00375	0.0231368
0.00425	0.0225266
0.00475	0.023059
0.00525	0.0229831
0.00575	0.0224425
0.00625	0.0229147
0.00675	0.023244
0.00725	0.0227386
0.00775	0.0232907
0.00825	0.023265
0.00875	0.0237234
0.00925	0.0226446
0.00975	0.0225862
0.01025	0.0237435
0.01075	0.0234066
0.01125	0.0237298
0.01175	0.024291
0.01225	0.0232661
0.01275	0.023704
0.01325	0.022686
0.01375	0.0236924
0.01425	0.0237152
0.01475	0.023622
0.01525	0.0242616
0.01575	0.0244391
0.01625	0.023749
0.01675	0.0238944
0.01725	0.0241983
0.01775	0.0240213
0.01825	0.0243087
0.01875	0.0247287
0.01925	0.0250603
0.01975	0.0248521
0.02025	0.0249662
0.02075	0.0248071
0.02125	0.0248059
0.02175	0.0247658
0.02225	0.0248134
0.02275	0.0249583
0.02325	0.025425
0.02375	0.0257288
0.02425	0.0252686
0.02475	0.026032
0.02525	0.0253064
0.02575	0.0259013
0.02625	0.025851
0.02675	0.0263174
0.02725	0.026093
0.02775	0.0258875
0.02825	0.0260377
0.02875	0.0262304
0.02925	0.0261617
0.02975	0.0262355
0.03025	0.0269134
0.03075	0.026476
0.03125	0.0269389
0.03175	0.0264987
0.03225	0.0267408
0.03275	0.027197
0.03325	0.0272925
0.03375	0.0273418
0.03425	0.0275683
0.03475	0.0273772
0.03525	0.0277138
0.03575	0.0280487
0.03625	0.0282706
0.03675	0.0283039
0.03725	0.0281131
0.03775	0.0283894
0.03825	0.0278118
0.03875	0.0280975
0.03925	0.0276819
0.03975	0.0287359
0.04025	0.0290231
0.04075	0.0293898
0.04125	0.0291247
0.04175	0.0292024
0.04225	0.0300028
0.04275	0.0295019
0.04325	0.0298784
0.04375	0.0296316
0.04425	0.0296445
0.04475	0.0299966
0.04525	0.0302092
0.04575	0.0308759
0.04625	0.0303243
0.04675	0.0304761
0.04725	0.0300403
0.04775	0.0312258
0.04825	0.0306791
0.04875	0.0309577
0.04925	0.0314176
0.04975	0.0312731
0.05025	0.031611
0.05075	0.0312078
0.05125	0.0316409
0.05175	0.031463
0.05225	0.0310518
0.05275	0.0318605
0.05325	0.0321913
0.05375	0.0322801
0.05425	0.0324468
0.05475	0.0322204
0.05525	0.0326249
0.05575	0.0329601
0.05625	0.0328892
0.05675	0.0334447
0.05725	0.0330333
0.05775	0.033552
0.05825	0.0337697
0.05875	0.0338729
0.05925	0.0341521
0.05975	0.0336994
0.06025	0.0345781
0.06075	0.0345473
0.06125	0.0339629
0.06175	0.034597
0.06225	0.034267
0.06275	0.0346203
0.06325	0.0345459
0.06375	0.0346774
0.06425	0.0352897
0.06475	0.035376
0.06525	0.0350529
0.06575	0.0357679
0.06625	0.0360299
0.06675	0.0357527
0.06725	0.0358078
0.06775	0.0358633
0.06825	0.0352214
0.06875	0.0358137
0.06925	0.0362517
0.06975	0.036689
0.07025	0.0370218
0.07075	0.0372228
0.07125	0.0373515
0.07175	0.0371427
0.07225	0.0369162
0.07275	0.0375984
0.07325	0.0374626
0.07375	0.0378915
0.07425	0.0378129
0.07475	0.0380612
0.07525	0.0384873
0.07575	0.0379581
0.07625	0.0386614
0.07675	0.0385139
0.07725	0.0388395
0.07775	0.0392838
0.07825	0.03954
0.07875	0.0386669
0.07925	0.0397057
0.07975	0.0395103
0.08025	0.0394904
0.08075	0.0403606
0.08125	0.0402822
0.08175	0.0396747
0.08225	0.0400507
0.08275	0.0405119
0.08325	0.040577
0.08375	0.041422
0.08425	0.0406841
0.08475	0.0412716
0.08525	0.0407838
0.08575	0.0407732
0.08625	0.0418085
0.08675	0.0418549
0.08725	0.0417507
0.08775	0.0419066
0.08825	0.0416259
0.08875	0.0428232
0.08925	0.0427013
0.08975	0.0428649
0.09025	0.0426903
0.09075	0.0429249
0.09125	0.0424151
0.09175	0.0443726
0.09225	0.0435752
0.09275	0.043036
0.09325	0.0437407
0.09375	0.0431495
0.09425	0.0441004
0.09475	0.0441228
0.09525	0.0437553
0.09575	0.0442132
0.09625	0.0437116
0.09675	0.0439116
0.09725	0.0440006
0.09775	0.0444075
0.09825	0.0451181
0.09875	0.044582
0.09925	0.044924
0.09975	0.0459037
0.10025	0.0451192
0.10075	0.0454765
0.10125	0.0456946
0.10175	0.0465963
0.10225	0.0460955
0.10275	0.0465897
0.10325	0.0473442
0.10375	0.0465507
0.10425	0.0465735
0.10475	0.0471823
0.10525	0.046102
0.10575	0.0470605
0.10625	0.0472581
0.10675	0.0472395
0.10725	0.0480822
0.10775	0.0480051
0.10825	0.0474037
0.10875	0.0479606
0.10925	0.0479963
0.10975	0.0490068
0.11025	0.0489287
0.11075	0.0493605
0.11125	0.0480298
0.11175	0.0490204
0.11225	0.0484222
0.11275	0.0493745
0.11325	0.0495965
0.11375	0.049404
0.11425	0.0490789
0.11475	0.050717
0.11525	0.0501695
0.11575	0.050332
0.11625	0.0493932
0.11675	0.050578
0.11725	0.0503143
0.11775	0.050901
0.11825	0.050641
0.11875	0.0518293
0.11925	0.051532
0.11975	0.0513241
0.12025	0.0513152
0.12075	0.0525996
0.12125	0.0513098
0.12175	0.0518157
0.12225	0.0523109
0.12275	0.0523944
0.12325	0.0528255
0.12375	0.0520211
0.12425	0.052577
0.12475	0.0539634
0.12525	0.0527093
0.12575	0.0524056
0.12625	0.0522739
0.12675	0.0528504
0.12725	0.0537425
0.12775	0.0545119
0.12825	0.0529246
0.12875	0.0543166
0.12925	0.0538513
0.12975	0.0545092
0.13025	0.053154
0.13075	0.0538203
0.13125	0.0541642
0.13175	0.0547036
0.13225	0.0553153
0.13275	0.0542702
0.13325	0.0559036
0.13375	0.0546314
0.13425	0.0551451
0.13475	0.0561556
0.13525	0.0556879
0.13575	0.0560459
0.13625	0.0555737
0.13675	0.0563803
0.13725	0.0564311
0.13775	0.0563141
0.13825	0.0567821
0.13875	0.0571734
0.13925	0.0564693
0.13975	0.0571535
0.14025	0.0583944
0.14075	0.0575372
0.14125	0.0572687
0.14175	0.0587508
0.14225	0.0573203
0.14275	0.0580978
0.14325	0.058441
0.14375	0.0585783
0.14425	0.0576093
0.14475	0.0588602
0.14525	0.05843
0.14575	0.0581496
0.14625	0.058837
0.14675	0.0588877
0.14725	0.0591419
0.14775	0.0597784
0.14825	0.0600883
0.14875	0.0607842
0.14925	0.0599242
0.14975	0.0602912
0.15025	0.0595042
0.15075	0.0602989
0.15125	0.0603458
0.15175	0.0602133
0.15225	0.0606496
0.15275	0.0616282
0.15325	0.0606862
0.15375	0.0615331
0.15425	0.0615307
0.15475	0.0613692
0.15525	0.060821
0.15575	0.061354
0.15625	0.061836
0.15675	0.0619903
0.15725	0.0628121
0.15775	0.0640041
0.15825	0.0635257
0.15875	0.062823
0.15925	0.0627546
0.15975	0.0628471
0.16025	0.0630428
0.16075	0.0633295
0.16125	0.0640719
0.16175	0.0634812
0.16225	0.0637407
0.16275	0.0636451
0.16325	0.0639001
0.16375	0.0631454
0.16425	0.0635266
0.16475	0.0642278
0.16525	0.0655672
0.16575	0.065656
0.16625	0.0653115
0.16675	0.0653758
0.16725	0.0650256
0.16775	0.065721
0.16825	0.0649203
0.16875	0.0647017
0.16925	0.0658157
0.16975	0.0659821
0.17025	0.0656201
0.17075	0.0665109
0.17125	0.0664073
0.17175	0.0660172
0.17225	0.0666233
0.17275	0.0657813
0.17325	0.0678727
0.17375	0.0669951
0.17425	0.0676976
0.17475	0.0675735
0.17525	0.0665604
0.17575	0.067124
0.17625	0.067087
0.17675	0.0677307
0.17725	0.0671268
0.17775	0.0674581
0.17825	0.0682089
0.17875	0.0686223
0.17925	0.0673991
0.17975	0.0679996
0.18025	0.0690983
0.18075	0.0676527
0.18125	0.0694332
0.18175	0.0697833
0.18225	0.0684209
0.18275	0.0689202
0.18325	0.0701957
0.18375	0.0681169
0.18425	0.0702726
0.18475	0.0704316
0.18525	0.0686808
0.18575	0.0708046
0.18625	0.0696665
0.18675	0.0685761
0.18725	0.0699733
0.18775	0.0706601
0.18825	0.0707131
0.18875	0.0691101
0.18925	0.0716039
0.18975	0.0696117
0.19025	0.0717561
0.19075	0.0714069
0.19125	0.0714764
0.19175	0.0712944
0.19225	0.0723661
0.19275	0.072738
0.19325	0.0724784
0.19375	0.0720517
0.19425	0.0719155
0.19475	0.0725177
0.19525	0.0740787
0.19575	0.0733134
0.19625	0.072406
0.19675	0.0739543
0.19725	0.0733005
0.19775	0.0735799
0.19825	0.0720937
0.19875	0.0725119
0.19925	0.0749577
