!k=p1-p2
T_R	N 
0.00025	0.0169843
0.00075	0.0175159
0.00125	0.0168589
0.00175	0.0175428
0.00225	0.0173751
0.00275	0.0173544
0.00325	0.0170424
0.00375	0.0176476
0.00425	0.0179668
0.00475	0.0179441
0.00525	0.0180284
0.00575	0.0183881
0.00625	0.0183038
0.00675	0.019089
0.00725	0.0192222
0.00775	0.0190581
0.00825	0.0189407
0.00875	0.0196575
0.00925	0.0203084
0.00975	0.0204476
0.01025	0.020309
0.01075	0.0210442
0.01125	0.0207003
0.01175	0.021693
0.01225	0.021855
0.01275	0.0216985
0.01325	0.0221495
0.01375	0.0227996
0.01425	0.0229832
0.01475	0.0234498
0.01525	0.0232308
0.01575	0.0238884
0.01625	0.0243113
0.01675	0.0249303
0.01725	0.0251528
0.01775	0.0254182
0.01825	0.0258538
0.01875	0.0262866
0.01925	0.0263255
0.01975	0.0268875
0.02025	0.0266997
0.02075	0.0275045
0.02125	0.0284122
0.02175	0.0281207
0.02225	0.0290947
0.02275	0.0293845
0.02325	0.0293298
0.02375	0.0299579
0.02425	0.0304004
0.02475	0.0306348
0.02525	0.0315313
0.02575	0.031718
0.02625	0.0318376
0.02675	0.0324567
0.02725	0.0330655
0.02775	0.033085
0.02825	0.0338494
0.02875	0.0342463
0.02925	0.0346011
0.02975	0.035233
0.03025	0.0357115
0.03075	0.0358093
0.03125	0.0359543
0.03175	0.0366562
0.03225	0.0370979
0.03275	0.0377064
0.03325	0.0385715
0.03375	0.038417
0.03425	0.0391934
0.03475	0.0392654
0.03525	0.0400385
0.03575	0.0401546
0.03625	0.0407473
0.03675	0.041028
0.03725	0.041677
0.03775	0.0419326
0.03825	0.0424216
0.03875	0.0430327
0.03925	0.0435022
0.03975	0.0438522
0.04025	0.0444616
0.04075	0.0447691
0.04125	0.0454023
0.04175	0.0458587
0.04225	0.0461634
0.04275	0.0466593
0.04325	0.0470122
0.04375	0.0476384
0.04425	0.0480444
0.04475	0.0483396
0.04525	0.0490554
0.04575	0.0494137
0.04625	0.0497183
0.04675	0.0504504
0.04725	0.0507392
0.04775	0.0514465
0.04825	0.0516412
0.04875	0.0521394
0.04925	0.0526808
0.04975	0.0529594
0.05025	0.0538265
0.05075	0.0539282
0.05125	0.0545649
0.05175	0.0551421
0.05225	0.0552405
0.05275	0.0558994
0.05325	0.0564728
0.05375	0.0569291
0.05425	0.0575753
0.05475	0.057858
0.05525	0.0584583
0.05575	0.0587314
0.05625	0.0591814
0.05675	0.0596375
0.05725	0.0602376
0.05775	0.060715
0.05825	0.0613205
0.05875	0.061758
0.05925	0.0622904
0.05975	0.0627032
0.06025	0.063025
0.06075	0.0633608
0.06125	0.0639889
0.06175	0.0645025
0.06225	0.0650453
0.06275	0.0655272
0.06325	0.065882
0.06375	0.0663
0.06425	0.0669311
0.06475	0.0675453
0.06525	0.0677023
0.06575	0.0682974
0.06625	0.0688993
0.06675	0.0695465
0.06725	0.0697976
0.06775	0.0702435
0.06825	0.0706754
0.06875	0.0712798
0.06925	0.0718494
0.06975	0.0722253
0.07025	0.0725999
0.07075	0.0733227
0.07125	0.0736433
0.07175	0.0742024
0.07225	0.0744687
0.07275	0.0751343
0.07325	0.0757172
0.07375	0.0762197
0.07425	0.0766356
0.07475	0.0771855
0.07525	0.0775806
0.07575	0.0780458
0.07625	0.0784416
0.07675	0.0790499
0.07725	0.0795752
0.07775	0.0799452
0.07825	0.0804944
0.07875	0.0809252
0.07925	0.0815938
0.07975	0.0819428
0.08025	0.0823611
0.08075	0.0828889
0.08125	0.0833056
0.08175	0.0838006
0.08225	0.0844904
0.08275	0.0848897
0.08325	0.0853644
0.08375	0.0857854
0.08425	0.0863251
0.08475	0.0867496
0.08525	0.0872538
0.08575	0.0876793
0.08625	0.0883158
0.08675	0.0888772
0.08725	0.0893194
0.08775	0.0897242
0.08825	0.0902368
0.08875	0.0906828
0.08925	0.0911682
0.08975	0.0916725
0.09025	0.0921761
0.09075	0.0926862
0.09125	0.0932
0.09175	0.093601
0.09225	0.094132
0.09275	0.0946297
0.09325	0.0952337
0.09375	0.0956673
0.09425	0.0961069
0.09475	0.0965665
0.09525	0.0969372
0.09575	0.0975844
0.09625	0.0980027
0.09675	0.0985654
0.09725	0.0989962
0.09775	0.0994896
0.09825	0.100103
0.09875	0.10049
0.09925	0.100983
0.09975	0.101515
0.10025	0.102013
0.10075	0.10254
0.10125	0.102897
0.10175	0.103409
0.10225	0.104034
0.10275	0.104536
0.10325	0.104882
0.10375	0.105454
0.10425	0.106067
0.10475	0.106496
0.10525	0.106956
0.10575	0.107479
0.10625	0.107841
0.10675	0.108273
0.10725	0.10889
0.10775	0.109315
0.10825	0.109919
0.10875	0.11032
0.10925	0.110876
0.10975	0.111251
0.11025	0.111847
0.11075	0.112388
0.11125	0.11282
0.11175	0.113323
0.11225	0.113846
0.11275	0.114231
0.11325	0.114778
0.11375	0.115156
0.11425	0.115894
0.11475	0.116288
0.11525	0.116795
0.11575	0.117231
0.11625	0.117778
0.11675	0.118219
0.11725	0.118715
0.11775	0.119404
0.11825	0.119761
0.11875	0.120274
0.11925	0.120699
0.11975	0.121246
0.12025	0.121658
0.12075	0.122178
0.12125	0.122727
0.12175	0.123303
0.12225	0.123731
0.12275	0.124212
0.12325	0.124744
0.12375	0.125131
0.12425	0.125695
0.12475	0.126163
0.12525	0.126626
0.12575	0.127178
0.12625	0.127686
0.12675	0.128138
0.12725	0.128666
0.12775	0.12918
0.12825	0.12967
0.12875	0.130136
0.12925	0.130616
0.12975	0.131146
0.13025	0.131702
0.13075	0.132118
0.13125	0.132589
0.13175	0.133058
0.13225	0.133576
0.13275	0.134147
0.13325	0.134549
0.13375	0.135082
0.13425	0.135532
0.13475	0.136041
0.13525	0.136571
0.13575	0.137093
0.13625	0.137657
0.13675	0.138143
0.13725	0.13857
0.13775	0.138993
0.13825	0.139564
0.13875	0.140048
0.13925	0.140702
0.13975	0.141058
0.14025	0.14146
0.14075	0.141985
0.14125	0.142411
0.14175	0.143068
0.14225	0.143589
0.14275	0.143908
0.14325	0.144497
0.14375	0.144975
0.14425	0.145574
0.14475	0.146012
0.14525	0.146451
0.14575	0.146989
0.14625	0.147435
0.14675	0.148027
0.14725	0.148513
0.14775	0.148974
0.14825	0.149448
0.14875	0.149925
0.14925	0.150452
0.14975	0.150994
0.15025	0.151411
0.15075	0.151991
0.15125	0.15243
0.15175	0.152979
0.15225	0.153481
0.15275	0.15389
0.15325	0.15452
0.15375	0.154823
0.15425	0.155352
0.15475	0.155889
0.15525	0.156311
0.15575	0.156893
0.15625	0.157438
0.15675	0.157929
0.15725	0.158413
0.15775	0.158902
0.15825	0.15935
0.15875	0.159927
0.15925	0.160476
0.15975	0.160824
0.16025	0.161338
0.16075	0.161893
0.16125	0.162424
0.16175	0.162804
0.16225	0.16345
0.16275	0.163902
0.16325	0.164346
0.16375	0.164812
0.16425	0.165406
0.16475	0.16585
0.16525	0.166361
0.16575	0.166923
0.16625	0.167396
0.16675	0.167792
0.16725	0.168352
0.16775	0.168813
0.16825	0.169334
0.16875	0.169797
0.16925	0.170317
0.16975	0.170846
0.17025	0.171364
0.17075	0.171723
0.17125	0.172228
0.17175	0.172787
0.17225	0.17324
0.17275	0.173734
0.17325	0.174293
0.17375	0.174847
0.17425	0.17531
0.17475	0.175826
0.17525	0.176233
0.17575	0.17671
0.17625	0.17733
0.17675	0.17778
0.17725	0.178261
0.17775	0.178819
0.17825	0.179216
0.17875	0.179818
0.17925	0.180335
0.17975	0.180717
0.18025	0.181325
0.18075	0.181698
0.18125	0.182285
0.18175	0.182785
0.18225	0.183165
0.18275	0.183722
0.18325	0.184305
0.18375	0.184694
0.18425	0.185267
0.18475	0.185754
0.18525	0.186268
0.18575	0.186619
0.18625	0.187219
0.18675	0.187841
0.18725	0.188178
0.18775	0.188723
0.18825	0.189151
0.18875	0.189684
0.18925	0.190212
0.18975	0.190749
0.19025	0.191206
0.19075	0.191668
0.19125	0.192165
0.19175	0.192644
0.19225	0.193132
0.19275	0.193751
0.19325	0.194101
0.19375	0.194729
0.19425	0.195242
0.19475	0.19565
0.19525	0.196186
0.19575	0.196711
0.19625	0.197165
0.19675	0.197702
0.19725	0.19811
0.19775	0.198733
0.19825	0.19918
0.19875	0.199707
0.19925	0.200235
