!k=p1-p2
T_R	N 
0.00025	0.0175149
0.00075	0.0170286
0.00125	0.0176578
0.00175	0.0174456
0.00225	0.0173655
0.00275	0.017568
0.00325	0.0173817
0.00375	0.0173273
0.00425	0.0181112
0.00475	0.0171088
0.00525	0.0177872
0.00575	0.018433
0.00625	0.0177611
0.00675	0.0186958
0.00725	0.018554
0.00775	0.0184111
0.00825	0.0191856
0.00875	0.0191264
0.00925	0.0200759
0.00975	0.0194294
0.01025	0.0201953
0.01075	0.0204261
0.01125	0.0208243
0.01175	0.0210994
0.01225	0.0211894
0.01275	0.0216342
0.01325	0.0215227
0.01375	0.0223831
0.01425	0.0223085
0.01475	0.0233744
0.01525	0.0231211
0.01575	0.0242438
0.01625	0.0236592
0.01675	0.0244865
0.01725	0.0249584
0.01775	0.0252092
0.01825	0.025742
0.01875	0.0261631
0.01925	0.0258386
0.01975	0.0261583
0.02025	0.0269579
0.02075	0.0274109
0.02125	0.0279331
0.02175	0.0282425
0.02225	0.0285412
0.02275	0.028945
0.02325	0.0298232
0.02375	0.0302562
0.02425	0.0301504
0.02475	0.0308054
0.02525	0.031018
0.02575	0.0313961
0.02625	0.0322029
0.02675	0.0324236
0.02725	0.0328491
0.02775	0.0333087
0.02825	0.0337583
0.02875	0.0339793
0.02925	0.0345757
0.02975	0.0345315
0.03025	0.0354713
0.03075	0.0356755
0.03125	0.0363563
0.03175	0.0364461
0.03225	0.0369946
0.03275	0.037456
0.03325	0.0380062
0.03375	0.0382305
0.03425	0.0387804
0.03475	0.0395776
0.03525	0.0395024
0.03575	0.0401689
0.03625	0.0408442
0.03675	0.0410225
0.03725	0.0415349
0.03775	0.0421126
0.03825	0.0423587
0.03875	0.0429425
0.03925	0.0433299
0.03975	0.0437296
0.04025	0.044216
0.04075	0.0443874
0.04125	0.0451142
0.04175	0.0457038
0.04225	0.0460872
0.04275	0.0465196
0.04325	0.046886
0.04375	0.0475509
0.04425	0.0479646
0.04475	0.0484028
0.04525	0.048692
0.04575	0.0493773
0.04625	0.0497148
0.04675	0.050454
0.04725	0.0508712
0.04775	0.0512164
0.04825	0.0518601
0.04875	0.0522088
0.04925	0.0526849
0.04975	0.0531057
0.05025	0.0535289
0.05075	0.054078
0.05125	0.0543677
0.05175	0.0548196
0.05225	0.055366
0.05275	0.0558405
0.05325	0.0564693
0.05375	0.0568759
0.05425	0.0575215
0.05475	0.0578793
0.05525	0.0580828
0.05575	0.0588313
0.05625	0.0591414
0.05675	0.0596821
0.05725	0.0604134
0.05775	0.060637
0.05825	0.0609547
0.05875	0.0616069
0.05925	0.0619099
0.05975	0.0624523
0.06025	0.0630706
0.06075	0.0635169
0.06125	0.0640461
0.06175	0.0645782
0.06225	0.0652205
0.06275	0.0654478
0.06325	0.0658497
0.06375	0.066563
0.06425	0.0669313
0.06475	0.0673591
0.06525	0.0679152
0.06575	0.0683747
0.06625	0.0686962
0.06675	0.0693615
0.06725	0.069744
0.06775	0.0702415
0.06825	0.0706941
0.06875	0.0712964
0.06925	0.0717256
0.06975	0.0721288
0.07025	0.0725979
0.07075	0.0731727
0.07125	0.0736211
0.07175	0.0739822
0.07225	0.0745809
0.07275	0.0750285
0.07325	0.0755825
0.07375	0.0760011
0.07425	0.076502
0.07475	0.077094
0.07525	0.0775817
0.07575	0.078038
0.07625	0.0784707
0.07675	0.0789981
0.07725	0.0794376
0.07775	0.0798813
0.07825	0.0804982
0.07875	0.0809366
0.07925	0.0813556
0.07975	0.0818214
0.08025	0.0823947
0.08075	0.0828902
0.08125	0.0832838
0.08175	0.0837624
0.08225	0.0844289
0.08275	0.0847798
0.08325	0.0852743
0.08375	0.0858095
0.08425	0.0863249
0.08475	0.0867048
0.08525	0.0872901
0.08575	0.0877796
0.08625	0.088275
0.08675	0.0888412
0.08725	0.0891785
0.08775	0.0898319
0.08825	0.0900802
0.08875	0.0906221
0.08925	0.0912468
0.08975	0.0917026
0.09025	0.0921348
0.09075	0.0926051
0.09125	0.0931459
0.09175	0.0936729
0.09225	0.094108
0.09275	0.0946975
0.09325	0.0951196
0.09375	0.0955157
0.09425	0.095999
0.09475	0.0966243
0.09525	0.0971093
0.09575	0.097588
0.09625	0.0980839
0.09675	0.0984948
0.09725	0.0990312
0.09775	0.0994628
0.09825	0.100052
0.09875	0.100512
0.09925	0.101078
0.09975	0.101474
0.10025	0.102002
0.10075	0.102455
0.10125	0.103018
0.10175	0.103429
0.10225	0.104013
0.10275	0.104387
0.10325	0.104873
0.10375	0.105472
0.10425	0.10594
0.10475	0.106357
0.10525	0.106867
0.10575	0.10735
0.10625	0.107956
0.10675	0.108417
0.10725	0.108836
0.10775	0.109416
0.10825	0.109867
0.10875	0.110378
0.10925	0.110865
0.10975	0.111425
0.11025	0.111784
0.11075	0.112335
0.11125	0.112925
0.11175	0.113385
0.11225	0.11386
0.11275	0.114352
0.11325	0.11482
0.11375	0.115319
0.11425	0.115793
0.11475	0.116256
0.11525	0.116804
0.11575	0.117259
0.11625	0.117795
0.11675	0.11828
0.11725	0.118786
0.11775	0.119299
0.11825	0.119663
0.11875	0.120238
0.11925	0.120764
0.11975	0.12116
0.12025	0.121752
0.12075	0.122198
0.12125	0.122741
0.12175	0.123207
0.12225	0.123793
0.12275	0.124123
0.12325	0.124686
0.12375	0.12512
0.12425	0.125715
0.12475	0.126172
0.12525	0.126679
0.12575	0.127097
0.12625	0.127637
0.12675	0.128166
0.12725	0.12857
0.12775	0.129175
0.12825	0.129679
0.12875	0.130136
0.12925	0.130584
0.12975	0.131056
0.13025	0.131695
0.13075	0.132095
0.13125	0.132555
0.13175	0.133015
0.13225	0.133669
0.13275	0.134141
0.13325	0.134542
0.13375	0.135132
0.13425	0.135639
0.13475	0.136124
0.13525	0.136496
0.13575	0.137109
0.13625	0.137495
