!k=p1-p2
T_R	N 
0.00025	0.0171795
0.00075	0.0169239
0.00125	0.0171823
0.00175	0.0168548
0.00225	0.0176851
0.00275	0.0174351
0.00325	0.0176562
0.00375	0.0181126
0.00425	0.0174385
0.00475	0.0180908
0.00525	0.0180861
0.00575	0.0178856
0.00625	0.0188136
0.00675	0.0185823
0.00725	0.0194144
0.00775	0.0191381
0.00825	0.0198079
0.00875	0.0196967
0.00925	0.019716
0.00975	0.0204745
0.01025	0.020184
0.01075	0.0211312
0.01125	0.0212046
0.01175	0.0210957
0.01225	0.0220572
0.01275	0.0220691
0.01325	0.0221653
0.01375	0.022507
0.01425	0.0227964
0.01475	0.0235162
0.01525	0.0233767
0.01575	0.0236168
0.01625	0.024414
0.01675	0.0244813
0.01725	0.0250723
0.01775	0.0256278
0.01825	0.0259531
0.01875	0.0260167
0.01925	0.0266774
0.01975	0.0268198
0.02025	0.0273478
0.02075	0.0277774
0.02125	0.0278661
0.02175	0.0284473
0.02225	0.0287691
0.02275	0.0288221
0.02325	0.0292801
0.02375	0.0300491
0.02425	0.0308717
0.02475	0.0311752
0.02525	0.0310309
0.02575	0.0314598
0.02625	0.0322264
0.02675	0.0321145
0.02725	0.0331669
0.02775	0.0331211
0.02825	0.0334797
0.02875	0.0337878
0.02925	0.034404
0.02975	0.0348142
0.03025	0.0354296
0.03075	0.0360082
0.03125	0.0361792
0.03175	0.036574
0.03225	0.0370664
0.03275	0.037533
0.03325	0.0379415
0.03375	0.0386528
0.03425	0.0390991
0.03475	0.0394147
0.03525	0.0400539
0.03575	0.0399259
0.03625	0.04054
0.03675	0.0412203
0.03725	0.041599
0.03775	0.0418099
0.03825	0.0424742
0.03875	0.0427364
0.03925	0.0432631
0.03975	0.0439431
0.04025	0.0444564
0.04075	0.0448582
0.04125	0.0451653
0.04175	0.045702
0.04225	0.0458878
0.04275	0.0466841
0.04325	0.0470647
0.04375	0.0475235
0.04425	0.0481175
0.04475	0.0487155
0.04525	0.0488161
0.04575	0.0496604
0.04625	0.0499566
0.04675	0.0503074
0.04725	0.050724
0.04775	0.051287
0.04825	0.0517262
0.04875	0.0520808
0.04925	0.0525692
0.04975	0.0530455
0.05025	0.0534451
0.05075	0.0540523
0.05125	0.0546966
0.05175	0.0548333
0.05225	0.0554565
0.05275	0.0560716
0.05325	0.0564404
0.05375	0.0569186
0.05425	0.0573494
0.05475	0.0577543
0.05525	0.0582317
0.05575	0.0587644
0.05625	0.0593393
0.05675	0.0597999
0.05725	0.0603254
0.05775	0.0607402
0.05825	0.0608855
0.05875	0.0616069
0.05925	0.0620249
0.05975	0.0626119
0.06025	0.0631991
0.06075	0.0635575
0.06125	0.0639587
0.06175	0.0647356
0.06225	0.0649551
0.06275	0.0656027
0.06325	0.0658718
0.06375	0.0664745
0.06425	0.0668912
0.06475	0.0675095
0.06525	0.0677933
0.06575	0.0683521
0.06625	0.068893
0.06675	0.0693031
0.06725	0.0697516
0.06775	0.0699108
0.06825	0.0707486
0.06875	0.0713961
0.06925	0.0717705
0.06975	0.0722363
0.07025	0.0727312
0.07075	0.0732503
0.07125	0.0734877
0.07175	0.0741165
0.07225	0.0746446
0.07275	0.0751006
0.07325	0.0756999
0.07375	0.0761572
