!k=p1-p2
T_R	N 
0.00025	0.0228334
0.00075	0.0229915
0.00125	0.0232407
0.00175	0.0230352
0.00225	0.0226203
0.00275	0.0223097
0.00325	0.0225869
0.00375	0.0226995
0.00425	0.0227952
0.00475	0.0227308
0.00525	0.0231448
0.00575	0.0233643
0.00625	0.0227619
0.00675	0.0229817
0.00725	0.0233581
0.00775	0.0235687
0.00825	0.0239021
0.00875	0.0238297
0.00925	0.0232401
0.00975	0.0231384
0.01025	0.0228709
0.01075	0.0236346
0.01125	0.0235122
0.01175	0.0242272
0.01225	0.0240193
0.01275	0.0244245
0.01325	0.0238998
0.01375	0.0241163
0.01425	0.0247273
0.01475	0.0240204
0.01525	0.0235656
0.01575	0.0234187
0.01625	0.0243797
0.01675	0.0242502
0.01725	0.0240546
0.01775	0.023526
0.01825	0.0248805
0.01875	0.0243041
0.01925	0.0244471
0.01975	0.0244182
0.02025	0.0242049
0.02075	0.0248038
0.02125	0.0249191
0.02175	0.0249182
0.02225	0.0254407
0.02275	0.0255794
0.02325	0.0246996
0.02375	0.0250879
0.02425	0.0256313
0.02475	0.0256283
0.02525	0.0259473
0.02575	0.0261332
0.02625	0.025672
0.02675	0.0260887
0.02725	0.0262953
0.02775	0.0264734
0.02825	0.0266795
0.02875	0.0263879
0.02925	0.0266104
0.02975	0.0268521
0.03025	0.0261093
0.03075	0.0267814
0.03125	0.0270507
0.03175	0.0272565
0.03225	0.0275235
0.03275	0.0275474
0.03325	0.0275749
0.03375	0.0277309
0.03425	0.0278194
0.03475	0.027653
0.03525	0.028008
0.03575	0.0275966
0.03625	0.0277527
0.03675	0.0281403
0.03725	0.0281646
0.03775	0.0285608
0.03825	0.0282786
0.03875	0.028712
0.03925	0.0285403
0.03975	0.0288725
0.04025	0.0295286
0.04075	0.0294548
0.04125	0.0294201
0.04175	0.0290786
0.04225	0.0293175
0.04275	0.0294799
0.04325	0.0297704
0.04375	0.0302284
0.04425	0.0299949
0.04475	0.0301831
0.04525	0.0303062
0.04575	0.0310014
0.04625	0.0305899
0.04675	0.0303353
0.04725	0.0302457
0.04775	0.031464
0.04825	0.030776
0.04875	0.0306492
0.04925	0.0310852
0.04975	0.0316206
0.05025	0.0317694
0.05075	0.0321801
0.05125	0.0318985
0.05175	0.0320785
0.05225	0.0315831
0.05275	0.0315169
0.05325	0.031939
0.05375	0.0322073
0.05425	0.0323856
0.05475	0.0320112
0.05525	0.0331232
0.05575	0.0325337
0.05625	0.0329579
0.05675	0.0337269
0.05725	0.0335828
0.05775	0.0343782
0.05825	0.0336171
0.05875	0.033709
0.05925	0.034038
0.05975	0.0332818
0.06025	0.034426
0.06075	0.0345405
0.06125	0.0341282
0.06175	0.0353467
0.06225	0.0340798
0.06275	0.0351426
0.06325	0.0345969
0.06375	0.0354089
0.06425	0.0351597
0.06475	0.0352497
0.06525	0.0354576
0.06575	0.0358839
0.06625	0.0358354
0.06675	0.0362818
0.06725	0.0361933
0.06775	0.0362979
0.06825	0.0360287
0.06875	0.0364087
0.06925	0.0361187
0.06975	0.0376958
0.07025	0.0369546
0.07075	0.0369554
0.07125	0.0370945
0.07175	0.0372796
0.07225	0.0377558
0.07275	0.0379452
0.07325	0.0368875
0.07375	0.0382419
0.07425	0.0387496
0.07475	0.0381093
0.07525	0.0387094
0.07575	0.038409
0.07625	0.0387207
0.07675	0.0394578
0.07725	0.0398358
0.07775	0.0390025
0.07825	0.039536
0.07875	0.0396849
0.07925	0.0391221
0.07975	0.0398643
0.08025	0.039003
0.08075	0.0404392
0.08125	0.0409133
0.08175	0.0407544
0.08225	0.0402308
0.08275	0.0411352
0.08325	0.0409633
0.08375	0.0410513
0.08425	0.0410544
0.08475	0.04034
0.08525	0.0411043
0.08575	0.0410948
0.08625	0.0414267
0.08675	0.0411503
0.08725	0.0418853
0.08775	0.0421705
0.08825	0.0419237
0.08875	0.0429153
0.08925	0.0423918
0.08975	0.042043
0.09025	0.0428931
0.09075	0.0435264
0.09125	0.0434737
0.09175	0.0427829
0.09225	0.0431991
0.09275	0.0441982
0.09325	0.0432294
0.09375	0.0437364
0.09425	0.0442504
0.09475	0.0443262
0.09525	0.0443146
0.09575	0.044003
0.09625	0.0441099
0.09675	0.0454456
0.09725	0.044011
0.09775	0.0443623
0.09825	0.0447907
0.09875	0.0452964
0.09925	0.0459628
