!k=p1-p2
T_R	N 
0.00025	0.0171691
0.00075	0.0167439
0.00125	0.0172921
0.00175	0.0164632
0.00225	0.0164245
0.00275	0.0167
0.00325	0.0167021
0.00375	0.0177508
0.00425	0.0179708
0.00475	0.0179742
0.00525	0.0180907
0.00575	0.0182418
0.00625	0.0183392
0.00675	0.0181538
0.00725	0.0187363
0.00775	0.0190806
0.00825	0.0194843
0.00875	0.0200152
0.00925	0.0198904
0.00975	0.0202318
0.01025	0.0207359
0.01075	0.0208237
0.01125	0.0205622
0.01175	0.0211221
0.01225	0.0215553
0.01275	0.0223906
0.01325	0.0222713
0.01375	0.0220952
0.01425	0.0230351
0.01475	0.0231109
0.01525	0.0237613
0.01575	0.0236661
0.01625	0.0245561
0.01675	0.0244999
0.01725	0.0246855
0.01775	0.0250838
0.01825	0.0255007
0.01875	0.0257838
0.01925	0.0260835
0.01975	0.0270213
0.02025	0.0269786
0.02075	0.0277431
0.02125	0.0278145
0.02175	0.0280519
0.02225	0.0291561
0.02275	0.0290558
0.02325	0.0295404
0.02375	0.0299641
0.02425	0.0300737
0.02475	0.0306036
0.02525	0.0313715
0.02575	0.0314072
0.02625	0.0320524
0.02675	0.0315689
0.02725	0.0325244
0.02775	0.0331521
0.02825	0.0333194
0.02875	0.0340539
0.02925	0.0342032
0.02975	0.0347599
0.03025	0.035646
0.03075	0.0359028
0.03125	0.0364815
0.03175	0.0366039
0.03225	0.0368549
0.03275	0.037674
0.03325	0.0381548
0.03375	0.0384107
0.03425	0.038655
0.03475	0.0391472
0.03525	0.039454
0.03575	0.0400395
0.03625	0.040692
0.03675	0.0410891
0.03725	0.0414879
0.03775	0.0418519
0.03825	0.0421815
0.03875	0.0430482
0.03925	0.0436379
0.03975	0.0439096
0.04025	0.0441334
0.04075	0.0448691
0.04125	0.0452208
0.04175	0.0456283
0.04225	0.0459579
0.04275	0.0464355
0.04325	0.0468811
0.04375	0.0474552
0.04425	0.0480402
0.04475	0.0483611
0.04525	0.0490157
0.04575	0.0494737
0.04625	0.0499124
0.04675	0.0502919
0.04725	0.0509212
0.04775	0.0511356
0.04825	0.0517245
0.04875	0.0521311
0.04925	0.0526482
0.04975	0.0532025
0.05025	0.0537912
0.05075	0.0541831
0.05125	0.0546989
0.05175	0.0549176
0.05225	0.0554064
0.05275	0.0557832
0.05325	0.0562969
0.05375	0.0570125
0.05425	0.057411
0.05475	0.0576923
0.05525	0.0584883
0.05575	0.0586842
0.05625	0.0590501
0.05675	0.0596279
0.05725	0.0601938
0.05775	0.0607818
0.05825	0.0610784
0.05875	0.0617065
0.05925	0.0622661
0.05975	0.0625893
0.06025	0.0632259
0.06075	0.0632989
0.06125	0.0639208
0.06175	0.0645432
0.06225	0.0649361
0.06275	0.0654226
0.06325	0.0660178
0.06375	0.0662819
0.06425	0.0668787
0.06475	0.0672087
0.06525	0.0677595
0.06575	0.068403
0.06625	0.0687235
0.06675	0.0692112
0.06725	0.0697984
0.06775	0.0702604
0.06825	0.0707886
0.06875	0.0712978
0.06925	0.0718585
0.06975	0.0722422
0.07025	0.0726887
0.07075	0.0731886
0.07125	0.0738119
0.07175	0.0739953
0.07225	0.0745801
0.07275	0.0749858
0.07325	0.0754347
0.07375	0.0760743
0.07425	0.0767147
0.07475	0.0770339
0.07525	0.0775636
0.07575	0.0780638
0.07625	0.0784275
0.07675	0.0789218
0.07725	0.0794479
0.07775	0.0798672
0.07825	0.0804302
0.07875	0.080884
0.07925	0.0813881
0.07975	0.0819941
0.08025	0.0823887
0.08075	0.082939
0.08125	0.0832686
0.08175	0.083986
0.08225	0.084257
0.08275	0.0849112
0.08325	0.0853775
0.08375	0.0857738
0.08425	0.0864066
0.08475	0.0867234
0.08525	0.0871626
0.08575	0.0876959
0.08625	0.0883265
0.08675	0.0887681
0.08725	0.0893282
0.08775	0.089738
0.08825	0.0901787
0.08875	0.0906876
0.08925	0.0910552
0.08975	0.0916165
0.09025	0.0921397
0.09075	0.0925136
0.09125	0.0931303
0.09175	0.0937225
0.09225	0.0941393
0.09275	0.0946386
0.09325	0.0950395
0.09375	0.095659
0.09425	0.0961176
0.09475	0.0966443
0.09525	0.0971414
0.09575	0.0975969
0.09625	0.0980562
0.09675	0.0985437
0.09725	0.0989436
0.09775	0.0994366
0.09825	0.100029
0.09875	0.100488
0.09925	0.101045
0.09975	0.1015
0.10025	0.101992
0.10075	0.102425
0.10125	0.103014
0.10175	0.103457
0.10225	0.103873
0.10275	0.104527
0.10325	0.104847
0.10375	0.105354
0.10425	0.106002
0.10475	0.106435
0.10525	0.106886
0.10575	0.107453
0.10625	0.107855
0.10675	0.108406
0.10725	0.108951
0.10775	0.109495
0.10825	0.109842
0.10875	0.110421
0.10925	0.11085
0.10975	0.111365
0.11025	0.11183
0.11075	0.112355
0.11125	0.112838
0.11175	0.113349
0.11225	0.113818
0.11275	0.114314
0.11325	0.114752
0.11375	0.115333
0.11425	0.115769
0.11475	0.116269
0.11525	0.116828
0.11575	0.117319
0.11625	0.117742
0.11675	0.118301
0.11725	0.118757
0.11775	0.119276
0.11825	0.119755
0.11875	0.120293
0.11925	0.120813
0.11975	0.121255
0.12025	0.121702
0.12075	0.122216
0.12125	0.122688
0.12175	0.123211
0.12225	0.123582
0.12275	0.124163
0.12325	0.124685
0.12375	0.125198
0.12425	0.12563
0.12475	0.126204
0.12525	0.12663
0.12575	0.127067
0.12625	0.127605
0.12675	0.128183
0.12725	0.128638
0.12775	0.129149
0.12825	0.129706
0.12875	0.130135
0.12925	0.130606
0.12975	0.131152
0.13025	0.131636
0.13075	0.132114
0.13125	0.132651
0.13175	0.13315
0.13225	0.133574
0.13275	0.134104
0.13325	0.134563
0.13375	0.135084
0.13425	0.135611
0.13475	0.136138
0.13525	0.136578
0.13575	0.137071
0.13625	0.1376
0.13675	0.13801
0.13725	0.138559
0.13775	0.139029
0.13825	0.139558
0.13875	0.140006
0.13925	0.140504
0.13975	0.141095
0.14025	0.141555
0.14075	0.142046
0.14125	0.142524
0.14175	0.143105
0.14225	0.143504
0.14275	0.143978
0.14325	0.144547
0.14375	0.145027
0.14425	0.145515
0.14475	0.145958
0.14525	0.146462
0.14575	0.146996
0.14625	0.147487
0.14675	0.148042
0.14725	0.148476
0.14775	0.148905
0.14825	0.149464
0.14875	0.149982
0.14925	0.15042
0.14975	0.150888
0.15025	0.151435
0.15075	0.151943
0.15125	0.152511
0.15175	0.152885
0.15225	0.153453
0.15275	0.153982
0.15325	0.154419
0.15375	0.154911
0.15425	0.155442
0.15475	0.155896
0.15525	0.156415
0.15575	0.156976
0.15625	0.157365
0.15675	0.157942
0.15725	0.158358
0.15775	0.158904
0.15825	0.159424
0.15875	0.159915
0.15925	0.160374
0.15975	0.160897
0.16025	0.161373
0.16075	0.161849
0.16125	0.162382
0.16175	0.162888
0.16225	0.163304
0.16275	0.163916
0.16325	0.164394
0.16375	0.164886
0.16425	0.165357
0.16475	0.165878
0.16525	0.166356
0.16575	0.166861
0.16625	0.167319
0.16675	0.167831
0.16725	0.168332
0.16775	0.168823
0.16825	0.169247
0.16875	0.169788
0.16925	0.170325
0.16975	0.170847
0.17025	0.171293
0.17075	0.171843
0.17125	0.172321
0.17175	0.172709
0.17225	0.173306
0.17275	0.173766
0.17325	0.174284
0.17375	0.174866
