!k=p1-p2
T_R	N 
0.00025	0.0222435
0.00075	0.0226474
0.00125	0.0234582
0.00175	0.0229006
0.00225	0.0228878
0.00275	0.0236104
0.00325	0.0229824
0.00375	0.0224469
0.00425	0.0226538
0.00475	0.0231075
0.00525	0.0231137
0.00575	0.0229024
0.00625	0.023287
0.00675	0.0230505
0.00725	0.0231936
0.00775	0.022992
0.00825	0.0228897
0.00875	0.0231638
0.00925	0.0236896
0.00975	0.0239569
0.01025	0.0235613
0.01075	0.0236788
0.01125	0.0233925
0.01175	0.0232986
0.01225	0.0235693
0.01275	0.0236592
0.01325	0.0237561
0.01375	0.0236833
0.01425	0.0236317
0.01475	0.0240686
0.01525	0.0238091
0.01575	0.0244341
0.01625	0.0234674
0.01675	0.0241515
0.01725	0.0240238
0.01775	0.0242827
0.01825	0.0242527
0.01875	0.0245299
0.01925	0.0243471
0.01975	0.0244674
0.02025	0.0247016
0.02075	0.0247987
0.02125	0.0242822
0.02175	0.0255635
0.02225	0.0249624
0.02275	0.0255354
0.02325	0.0255141
0.02375	0.0249009
0.02425	0.0256773
0.02475	0.0256221
0.02525	0.0255699
0.02575	0.0254119
0.02625	0.026097
0.02675	0.0256543
0.02725	0.0259402
0.02775	0.0262606
0.02825	0.0259441
0.02875	0.0261818
0.02925	0.0269018
0.02975	0.0269428
0.03025	0.0270303
0.03075	0.0265494
0.03125	0.0266242
0.03175	0.0269834
0.03225	0.0278047
0.03275	0.0269636
0.03325	0.0274587
0.03375	0.0275364
0.03425	0.027527
0.03475	0.0278543
0.03525	0.0277498
0.03575	0.0278594
0.03625	0.0281167
0.03675	0.0283742
0.03725	0.0281795
0.03775	0.0284176
0.03825	0.0282835
0.03875	0.0282625
0.03925	0.0286267
0.03975	0.0283783
0.04025	0.028726
0.04075	0.0296606
0.04125	0.0296866
0.04175	0.0293057
0.04225	0.0293468
0.04275	0.0301266
0.04325	0.0298614
0.04375	0.0300989
0.04425	0.029114
0.04475	0.0299273
0.04525	0.0292543
0.04575	0.0303104
0.04625	0.0306369
0.04675	0.0311608
0.04725	0.0305661
0.04775	0.030808
0.04825	0.0310465
0.04875	0.0309638
0.04925	0.0306585
0.04975	0.0313632
0.05025	0.0313595
0.05075	0.0319107
0.05125	0.0315265
0.05175	0.0320535
0.05225	0.0323561
0.05275	0.0324162
0.05325	0.0320751
0.05375	0.0323746
0.05425	0.0324305
0.05475	0.032641
0.05525	0.0335809
0.05575	0.0320184
0.05625	0.0332963
0.05675	0.0328643
0.05725	0.0333865
0.05775	0.0337561
0.05825	0.0337715
0.05875	0.0330453
0.05925	0.0342442
0.05975	0.0338992
0.06025	0.0344971
0.06075	0.0343156
0.06125	0.0340033
0.06175	0.0343182
0.06225	0.0348046
0.06275	0.0351405
0.06325	0.0345789
0.06375	0.0355173
0.06425	0.0353934
0.06475	0.0349027
0.06525	0.0354925
0.06575	0.0357399
0.06625	0.036175
0.06675	0.0361879
0.06725	0.0357624
0.06775	0.036551
0.06825	0.0362974
0.06875	0.0369425
0.06925	0.0367403
0.06975	0.0366607
0.07025	0.0369032
0.07075	0.0369688
0.07125	0.037344
0.07175	0.0375825
0.07225	0.0378841
0.07275	0.037641
0.07325	0.0380879
0.07375	0.0376855
0.07425	0.0383594
0.07475	0.0379589
0.07525	0.0385924
0.07575	0.0389047
0.07625	0.03868
0.07675	0.0390865
0.07725	0.0390056
0.07775	0.0387577
0.07825	0.0394364
0.07875	0.0386239
0.07925	0.039753
0.07975	0.0391545
0.08025	0.0394839
0.08075	0.0395082
0.08125	0.0400555
0.08175	0.0401562
0.08225	0.0408194
0.08275	0.0407242
0.08325	0.0406935
0.08375	0.0407117
0.08425	0.0411861
0.08475	0.0409351
0.08525	0.0414882
0.08575	0.0417259
0.08625	0.0411683
0.08675	0.0416417
0.08725	0.0424283
0.08775	0.0415916
0.08825	0.0425845
0.08875	0.0425713
0.08925	0.043269
0.08975	0.0432762
0.09025	0.0431555
0.09075	0.0423164
0.09125	0.0437313
0.09175	0.0432543
0.09225	0.0429215
0.09275	0.0431356
0.09325	0.0435567
0.09375	0.0437645
0.09425	0.0442362
0.09475	0.0437731
0.09525	0.0445611
0.09575	0.0440761
0.09625	0.0445735
0.09675	0.0447977
0.09725	0.0446053
0.09775	0.0453707
0.09825	0.0450145
0.09875	0.0453042
0.09925	0.0456681
0.09975	0.0451161
0.10025	0.0455562
0.10075	0.0459566
0.10125	0.046058
0.10175	0.0462003
0.10225	0.046614
0.10275	0.0469431
0.10325	0.0462307
0.10375	0.0471105
0.10425	0.046676
0.10475	0.0476302
0.10525	0.0474228
0.10575	0.0472668
0.10625	0.0475895
0.10675	0.0476462
0.10725	0.0472856
0.10775	0.047835
0.10825	0.0477055
0.10875	0.0481562
0.10925	0.0487178
0.10975	0.0489848
0.11025	0.0483741
0.11075	0.0496069
0.11125	0.0484956
0.11175	0.0502118
0.11225	0.0487698
0.11275	0.0494325
0.11325	0.0494947
0.11375	0.0496207
0.11425	0.0506052
