!k=p1-p2
T_R	N 
0.00025	0.0178486
0.00075	0.017783
0.00125	0.0167166
0.00175	0.0174778
0.00225	0.0174823
0.00275	0.0175651
0.00325	0.0174567
0.00375	0.0178961
0.00425	0.0184429
0.00475	0.0174492
0.00525	0.0181144
0.00575	0.0184941
0.00625	0.0183047
0.00675	0.0187149
0.00725	0.0190865
0.00775	0.0196
0.00825	0.0193466
0.00875	0.0199317
0.00925	0.0200545
0.00975	0.0200055
0.01025	0.0205735
0.01075	0.0205091
0.01125	0.0210472
0.01175	0.0213618
0.01225	0.0217797
0.01275	0.0223801
0.01325	0.0225009
0.01375	0.0233461
0.01425	0.0233667
0.01475	0.0233138
0.01525	0.0239248
0.01575	0.0238552
0.01625	0.0244725
0.01675	0.0244896
0.01725	0.0245707
0.01775	0.0253133
0.01825	0.025454
0.01875	0.026143
0.01925	0.0266264
0.01975	0.0266628
0.02025	0.0272778
0.02075	0.0275895
0.02125	0.0282891
0.02175	0.0282255
0.02225	0.0288512
0.02275	0.0292252
0.02325	0.0296647
0.02375	0.0301229
0.02425	0.0304626
0.02475	0.030736
0.02525	0.0316269
0.02575	0.0315053
0.02625	0.032196
0.02675	0.0326131
0.02725	0.032724
0.02775	0.0330212
0.02825	0.0338422
0.02875	0.0343292
0.02925	0.0344308
0.02975	0.0349005
0.03025	0.0355495
0.03075	0.0359379
0.03125	0.036333
0.03175	0.0366902
0.03225	0.0370824
0.03275	0.0374622
0.03325	0.037943
0.03375	0.0384789
0.03425	0.0388097
0.03475	0.0391082
0.03525	0.0397048
0.03575	0.0402313
0.03625	0.04077
0.03675	0.0414392
0.03725	0.0414237
0.03775	0.0421121
0.03825	0.0426667
0.03875	0.0430491
0.03925	0.0433812
0.03975	0.0437978
0.04025	0.0442237
0.04075	0.0445911
0.04125	0.0450816
0.04175	0.045872
0.04225	0.0462042
0.04275	0.0466207
0.04325	0.0473075
0.04375	0.0473414
0.04425	0.048127
0.04475	0.0485541
0.04525	0.0488868
0.04575	0.0493511
0.04625	0.0498221
0.04675	0.0505012
0.04725	0.0508891
0.04775	0.0514166
0.04825	0.0516935
0.04875	0.0520492
0.04925	0.0527323
0.04975	0.0531045
0.05025	0.0536581
0.05075	0.0540038
0.05125	0.0546081
0.05175	0.0551522
0.05225	0.05554
0.05275	0.0558242
0.05325	0.0565439
0.05375	0.0568519
0.05425	0.0573121
0.05475	0.0578615
0.05525	0.058147
0.05575	0.0588375
0.05625	0.0593091
0.05675	0.0597944
0.05725	0.0602038
0.05775	0.0606741
0.05825	0.0611352
0.05875	0.0616776
0.05925	0.0622418
0.05975	0.0624766
0.06025	0.0630936
0.06075	0.0636496
0.06125	0.064033
0.06175	0.0646675
0.06225	0.0649938
0.06275	0.0656247
0.06325	0.0659389
0.06375	0.0665972
0.06425	0.0668857
0.06475	0.0674736
0.06525	0.067907
0.06575	0.0684488
0.06625	0.0688988
0.06675	0.0692436
0.06725	0.0698564
0.06775	0.0703569
0.06825	0.0708158
0.06875	0.0712692
0.06925	0.0717768
0.06975	0.0723221
0.07025	0.07285
0.07075	0.0731074
0.07125	0.073739
0.07175	0.0742387
0.07225	0.0747428
0.07275	0.0751349
0.07325	0.0757363
0.07375	0.07597
0.07425	0.0764974
0.07475	0.0770795
0.07525	0.0775398
0.07575	0.0779196
0.07625	0.0786297
0.07675	0.0791564
0.07725	0.0795541
0.07775	0.0800156
0.07825	0.0804027
0.07875	0.0809385
0.07925	0.0815062
0.07975	0.0819225
0.08025	0.0824094
0.08075	0.0829997
0.08125	0.0834907
0.08175	0.0839106
0.08225	0.0843098
0.08275	0.0848198
0.08325	0.0852695
0.08375	0.0859414
0.08425	0.0862635
0.08475	0.0867933
0.08525	0.0872164
0.08575	0.0878853
0.08625	0.0881446
0.08675	0.0887314
0.08725	0.0892797
0.08775	0.089849
0.08825	0.0902167
0.08875	0.0906898
0.08925	0.0911926
0.08975	0.0918148
0.09025	0.0921819
0.09075	0.0926206
0.09125	0.0930948
0.09175	0.0936398
0.09225	0.0942405
0.09275	0.0945816
0.09325	0.095097
0.09375	0.0957499
0.09425	0.0960074
0.09475	0.0965843
0.09525	0.0971204
0.09575	0.0976915
0.09625	0.0981054
0.09675	0.0985266
0.09725	0.0989855
0.09775	0.0996531
0.09825	0.0999321
0.09875	0.100515
0.09925	0.100972
0.09975	0.101591
0.10025	0.101934
0.10075	0.102406
0.10125	0.103176
0.10175	0.103537
0.10225	0.103986
0.10275	0.104607
0.10325	0.105036
0.10375	0.105408
0.10425	0.105901
0.10475	0.106451
0.10525	0.106903
0.10575	0.107407
0.10625	0.107916
0.10675	0.108411
0.10725	0.108919
0.10775	0.109396
0.10825	0.109913
0.10875	0.110418
0.10925	0.110927
0.10975	0.111368
0.11025	0.111866
0.11075	0.112261
0.11125	0.112761
0.11175	0.113332
0.11225	0.11383
0.11275	0.114364
0.11325	0.114845
0.11375	0.115299
0.11425	0.115868
0.11475	0.116279
0.11525	0.116787
0.11575	0.117241
0.11625	0.117754
0.11675	0.118306
0.11725	0.118651
0.11775	0.119188
0.11825	0.119728
0.11875	0.120254
0.11925	0.120661
0.11975	0.121309
0.12025	0.121641
0.12075	0.122233
0.12125	0.122707
0.12175	0.123269
0.12225	0.123728
0.12275	0.124268
0.12325	0.124749
0.12375	0.125248
0.12425	0.125748
0.12475	0.126166
0.12525	0.126632
0.12575	0.127187
0.12625	0.127622
0.12675	0.128039
0.12725	0.12868
0.12775	0.129164
0.12825	0.129639
0.12875	0.130078
0.12925	0.130645
0.12975	0.131094
0.13025	0.131574
0.13075	0.132084
0.13125	0.132684
0.13175	0.133138
0.13225	0.133542
0.13275	0.134106
0.13325	0.134595
0.13375	0.13511
0.13425	0.135634
0.13475	0.136126
0.13525	0.136624
0.13575	0.137004
0.13625	0.137584
0.13675	0.138083
0.13725	0.13851
0.13775	0.138994
0.13825	0.139547
0.13875	0.139994
0.13925	0.140544
