!k=p1-p2
T_R	N 
0.00025	0.0170095
0.00075	0.016976
0.00125	0.0166541
0.00175	0.017241
0.00225	0.0169078
0.00275	0.0173443
0.00325	0.0177088
0.00375	0.0176575
0.00425	0.0179828
0.00475	0.0181851
0.00525	0.0178209
0.00575	0.0176743
0.00625	0.0191987
0.00675	0.0180828
0.00725	0.0188793
0.00775	0.0190575
0.00825	0.0192022
0.00875	0.0195207
0.00925	0.0197213
0.00975	0.0200553
0.01025	0.0208732
0.01075	0.0205181
0.01125	0.0208963
0.01175	0.02098
0.01225	0.021383
0.01275	0.0217609
0.01325	0.0220802
0.01375	0.0221083
0.01425	0.0228593
0.01475	0.0233273
0.01525	0.0236828
0.01575	0.0235867
0.01625	0.0239895
0.01675	0.024509
0.01725	0.0248759
0.01775	0.0252674
0.01825	0.0254148
0.01875	0.0257883
0.01925	0.0264957
0.01975	0.0265788
0.02025	0.0272434
0.02075	0.0272705
0.02125	0.0280094
0.02175	0.0285313
0.02225	0.0286944
0.02275	0.0290555
0.02325	0.0296231
0.02375	0.0300746
0.02425	0.0300351
0.02475	0.0303699
0.02525	0.0312062
0.02575	0.0313616
0.02625	0.0321113
0.02675	0.0323983
0.02725	0.032678
0.02775	0.0331834
0.02825	0.0336409
0.02875	0.0340313
0.02925	0.0346546
0.02975	0.0348566
0.03025	0.0354996
0.03075	0.0358396
0.03125	0.036188
0.03175	0.0364979
0.03225	0.0372261
0.03275	0.0373234
0.03325	0.0378484
0.03375	0.0385971
0.03425	0.0387932
0.03475	0.0394081
0.03525	0.0396272
0.03575	0.0401542
0.03625	0.0404527
0.03675	0.0411292
0.03725	0.0415984
0.03775	0.0422694
0.03825	0.0424151
0.03875	0.0428443
0.03925	0.0432508
0.03975	0.0438373
0.04025	0.0443223
0.04075	0.0446739
0.04125	0.0452279
0.04175	0.0455488
0.04225	0.0461545
0.04275	0.0466168
0.04325	0.0469117
0.04375	0.0476337
0.04425	0.0480631
0.04475	0.0485041
0.04525	0.0490174
0.04575	0.0494159
0.04625	0.0498114
0.04675	0.0503128
