!k=p1-p2
T_R	N 
0.00025	0.00927035
0.00075	0.0171597
0.00125	0.017136
0.00175	0.0174295
0.00225	0.0173693
0.00275	0.0177731
0.00325	0.0171128
0.00375	0.0180339
0.00425	0.0178685
0.00475	0.0177577
0.00525	0.0183513
0.00575	0.0182445
0.00625	0.0183792
0.00675	0.0188491
0.00725	0.0187627
0.00775	0.0186243
0.00825	0.0195722
0.00875	0.0196754
0.00925	0.019668
0.00975	0.0202052
0.01025	0.0201389
0.01075	0.0205312
0.01125	0.0210717
0.01175	0.0214287
0.01225	0.0215292
0.01275	0.0220306
0.01325	0.0223606
0.01375	0.0224868
0.01425	0.0227806
0.01475	0.0230633
0.01525	0.0238364
0.01575	0.0239423
0.01625	0.0241718
0.01675	0.024242
0.01725	0.0251474
0.01775	0.0254418
0.01825	0.0254435
0.01875	0.0259097
0.01925	0.0261229
0.01975	0.0266565
0.02025	0.0274926
0.02075	0.0273052
0.02125	0.0279792
0.02175	0.0283682
0.02225	0.0287126
0.02275	0.0293167
0.02325	0.029698
0.02375	0.0300426
0.02425	0.0301652
0.02475	0.0311251
0.02525	0.0312925
0.02575	0.031593
0.02625	0.0321414
0.02675	0.0323651
0.02725	0.0326873
0.02775	0.0333763
0.02825	0.0337552
0.02875	0.0341478
0.02925	0.0342378
0.02975	0.0348979
0.03025	0.0354131
0.03075	0.0355442
0.03125	0.0362532
0.03175	0.0366676
0.03225	0.036944
0.03275	0.0374651
0.03325	0.038222
0.03375	0.0385057
0.03425	0.038846
0.03475	0.0393193
0.03525	0.0398388
0.03575	0.0402517
0.03625	0.0408764
0.03675	0.0409522
0.03725	0.04161
0.03775	0.0422703
0.03825	0.0426014
0.03875	0.0428862
0.03925	0.0431933
0.03975	0.0439201
0.04025	0.0444302
0.04075	0.0448313
0.04125	0.0452935
0.04175	0.045544
0.04225	0.0463981
0.04275	0.0464223
0.04325	0.0470332
0.04375	0.0475273
0.04425	0.04803
0.04475	0.0484936
0.04525	0.0490433
0.04575	0.049391
0.04625	0.0499491
0.04675	0.0504341
0.04725	0.0509768
0.04775	0.0513147
0.04825	0.0516694
0.04875	0.0520804
0.04925	0.0526995
0.04975	0.05317
0.05025	0.0536782
0.05075	0.0538775
0.05125	0.0545843
0.05175	0.0550415
0.05225	0.0555645
0.05275	0.0558967
0.05325	0.0564466
0.05375	0.0567862
0.05425	0.0573724
0.05475	0.0579057
0.05525	0.0583448
0.05575	0.0588077
0.05625	0.0593852
0.05675	0.059806
0.05725	0.0599924
0.05775	0.0607285
0.05825	0.0611137
0.05875	0.0616039
0.05925	0.0621052
0.05975	0.0625874
0.06025	0.0631114
0.06075	0.0636299
0.06125	0.0640689
0.06175	0.0645205
0.06225	0.0648932
0.06275	0.0655849
0.06325	0.0659785
0.06375	0.0663628
0.06425	0.0668351
0.06475	0.0673621
0.06525	0.067931
0.06575	0.0681844
0.06625	0.0689038
0.06675	0.0694102
0.06725	0.0698812
0.06775	0.0704058
0.06825	0.0707667
0.06875	0.0713249
0.06925	0.0717851
0.06975	0.0723435
0.07025	0.0726582
0.07075	0.0732532
0.07125	0.0736909
0.07175	0.0741594
0.07225	0.0746774
0.07275	0.0751544
0.07325	0.0755215
0.07375	0.0761203
0.07425	0.076584
0.07475	0.0770907
0.07525	0.0773879
0.07575	0.0779323
0.07625	0.0784196
0.07675	0.0788855
0.07725	0.0794828
0.07775	0.0798656
0.07825	0.0804776
0.07875	0.0809512
0.07925	0.0814712
0.07975	0.0817891
0.08025	0.0824782
0.08075	0.0829241
0.08125	0.0833242
0.08175	0.0838509
0.08225	0.0843285
0.08275	0.0847935
0.08325	0.0852725
0.08375	0.0858011
0.08425	0.0862943
0.08475	0.0868736
0.08525	0.087332
0.08575	0.0878587
0.08625	0.0881464
0.08675	0.0887259
0.08725	0.0893825
0.08775	0.0897886
0.08825	0.0902227
0.08875	0.090617
0.08925	0.0912111
0.08975	0.091782
0.09025	0.0921738
0.09075	0.0927091
0.09125	0.0930808
0.09175	0.0936851
0.09225	0.0941718
0.09275	0.0946457
0.09325	0.0951293
0.09375	0.0955939
0.09425	0.0960626
0.09475	0.0965241
0.09525	0.0970769
0.09575	0.0975674
0.09625	0.0980798
0.09675	0.0985477
0.09725	0.0991136
0.09775	0.0994766
0.09825	0.100019
0.09875	0.100571
0.09925	0.101008
