!k=p1-p2
T_R	N 
0.00025	0.00861622
0.00075	0.0164109
0.00125	0.016602
0.00175	0.017057
0.00225	0.016809
0.00275	0.017741
0.00325	0.0173201
0.00375	0.0175711
0.00425	0.0178044
0.00475	0.0175781
0.00525	0.0176106
0.00575	0.0184165
0.00625	0.0183039
0.00675	0.0178919
0.00725	0.0189387
0.00775	0.0188368
0.00825	0.0191063
0.00875	0.0192831
0.00925	0.019916
0.00975	0.0198164
0.01025	0.019834
0.01075	0.0206323
0.01125	0.021168
0.01175	0.0210522
0.01225	0.0214174
0.01275	0.0217558
0.01325	0.0219813
0.01375	0.0222407
0.01425	0.0227435
0.01475	0.0228633
0.01525	0.0232264
0.01575	0.0236451
0.01625	0.0242602
0.01675	0.0244776
0.01725	0.0251535
0.01775	0.0254375
0.01825	0.0255495
0.01875	0.0256808
0.01925	0.0262142
0.01975	0.0268467
0.02025	0.0269841
0.02075	0.027289
0.02125	0.0278408
0.02175	0.0283348
0.02225	0.0288627
0.02275	0.0289087
0.02325	0.029381
0.02375	0.0300405
0.02425	0.0303911
0.02475	0.0307551
0.02525	0.0308088
0.02575	0.0315775
0.02625	0.0317919
0.02675	0.0323147
0.02725	0.0328481
0.02775	0.0329958
0.02825	0.0334565
0.02875	0.0341158
0.02925	0.0345177
0.02975	0.0348952
0.03025	0.0352346
0.03075	0.0357379
0.03125	0.0362359
0.03175	0.0363997
0.03225	0.037112
0.03275	0.0375369
0.03325	0.0377859
0.03375	0.038551
0.03425	0.0386691
0.03475	0.039265
0.03525	0.0394828
0.03575	0.0402326
0.03625	0.0406769
0.03675	0.0411603
0.03725	0.0413548
0.03775	0.042118
0.03825	0.04216
0.03875	0.0427378
0.03925	0.0431851
0.03975	0.0437608
0.04025	0.0440376
0.04075	0.0447896
0.04125	0.0452883
0.04175	0.0455171
0.04225	0.0459458
0.04275	0.046579
0.04325	0.0470579
0.04375	0.0475636
0.04425	0.0479166
0.04475	0.0483525
0.04525	0.0488824
0.04575	0.0492415
0.04625	0.049761
0.04675	0.0500873
0.04725	0.0506464
0.04775	0.0511379
0.04825	0.0516326
0.04875	0.0521231
0.04925	0.0526405
0.04975	0.0531418
0.05025	0.0535364
0.05075	0.0539459
0.05125	0.0543226
0.05175	0.0548633
0.05225	0.0554039
0.05275	0.0559216
0.05325	0.0561848
0.05375	0.0568357
0.05425	0.0570715
0.05475	0.0576887
0.05525	0.0581749
0.05575	0.0586577
0.05625	0.059118
0.05675	0.0597589
0.05725	0.0602851
0.05775	0.0605614
0.05825	0.0613249
0.05875	0.0615715
0.05925	0.06205
0.05975	0.0625339
0.06025	0.0630071
0.06075	0.0634574
0.06125	0.0640772
0.06175	0.0644639
0.06225	0.0648803
0.06275	0.0653888
0.06325	0.065982
0.06375	0.0663702
0.06425	0.0668923
0.06475	0.0674054
0.06525	0.0678601
0.06575	0.0684032
0.06625	0.0688066
0.06675	0.0693826
0.06725	0.0698499
0.06775	0.0701483
0.06825	0.0707336
0.06875	0.071208
0.06925	0.0717446
0.06975	0.0722662
0.07025	0.0727765
0.07075	0.0731611
0.07125	0.0736274
0.07175	0.0740378
