!k=p1-p2
T_R	N 
0.00025	0.0129669
0.00075	0.0211875
0.00125	0.0222055
0.00175	0.0225453
0.00225	0.0230327
0.00275	0.0224946
0.00325	0.0231759
0.00375	0.0230761
0.00425	0.0230877
0.00475	0.0232382
0.00525	0.0230401
0.00575	0.0224624
0.00625	0.0224919
0.00675	0.0233205
0.00725	0.0231758
0.00775	0.0230916
0.00825	0.0234208
0.00875	0.0230267
0.00925	0.0233797
0.00975	0.0229027
0.01025	0.0236247
0.01075	0.0234268
0.01125	0.0233466
0.01175	0.0239763
0.01225	0.023993
0.01275	0.0234566
0.01325	0.023692
0.01375	0.0237881
0.01425	0.0241286
0.01475	0.0234695
0.01525	0.0240348
0.01575	0.0236196
0.01625	0.0241563
0.01675	0.0238689
0.01725	0.0241027
0.01775	0.0242024
0.01825	0.0241745
0.01875	0.024826
0.01925	0.0248621
0.01975	0.0242853
0.02025	0.0246081
0.02075	0.0247519
0.02125	0.024857
0.02175	0.0248648
0.02225	0.025172
0.02275	0.0251145
0.02325	0.0254274
0.02375	0.0254212
0.02425	0.0256497
0.02475	0.0256331
0.02525	0.0258289
0.02575	0.0254432
0.02625	0.0259175
0.02675	0.0253374
0.02725	0.026208
0.02775	0.0259287
0.02825	0.0258917
0.02875	0.0260761
0.02925	0.0260294
0.02975	0.026429
0.03025	0.0263853
0.03075	0.0265093
0.03125	0.0265837
0.03175	0.0269274
0.03225	0.0267874
0.03275	0.0269792
0.03325	0.0275265
0.03375	0.0273617
0.03425	0.0274465
0.03475	0.0277289
0.03525	0.0275859
0.03575	0.0276039
0.03625	0.0278835
0.03675	0.0278913
0.03725	0.0282597
0.03775	0.0284944
0.03825	0.0281052
0.03875	0.0285494
0.03925	0.0284609
0.03975	0.0282956
0.04025	0.0291228
0.04075	0.0290464
0.04125	0.0287968
0.04175	0.0294869
0.04225	0.0291225
0.04275	0.0292612
0.04325	0.0297692
0.04375	0.0297593
0.04425	0.0295081
0.04475	0.030118
0.04525	0.0302079
0.04575	0.0297361
