!k=p1-p2
T_R	N 
0.00025	0.0090097
0.00075	0.0172956
0.00125	0.0174641
0.00175	0.0173188
0.00225	0.0170773
0.00275	0.0166902
0.00325	0.0170356
0.00375	0.0172051
0.00425	0.017544
0.00475	0.0181218
0.00525	0.0186301
0.00575	0.0183963
0.00625	0.0184108
0.00675	0.0188281
0.00725	0.0188695
0.00775	0.0189945
0.00825	0.0196846
0.00875	0.0197915
0.00925	0.0201548
0.00975	0.0199659
0.01025	0.0204039
0.01075	0.0208116
0.01125	0.0209598
0.01175	0.0210226
0.01225	0.0212714
0.01275	0.0219101
0.01325	0.0224028
0.01375	0.0229759
0.01425	0.0227461
0.01475	0.0232285
0.01525	0.0235355
0.01575	0.0236541
0.01625	0.023995
0.01675	0.0248969
0.01725	0.0246564
0.01775	0.0252625
0.01825	0.0258537
0.01875	0.0262263
0.01925	0.0265601
0.01975	0.0265718
0.02025	0.027035
0.02075	0.0275403
0.02125	0.0277512
0.02175	0.0282599
0.02225	0.0287154
0.02275	0.0290958
0.02325	0.0295122
0.02375	0.0300341
0.02425	0.0304589
0.02475	0.0306203
0.02525	0.0311853
0.02575	0.0316939
0.02625	0.0320185
0.02675	0.0323124
0.02725	0.0328684
0.02775	0.0333234
0.02825	0.0337795
0.02875	0.0339922
0.02925	0.0343655
0.02975	0.0350686
0.03025	0.0355102
0.03075	0.0354881
0.03125	0.0362176
0.03175	0.0367899
0.03225	0.0370737
0.03275	0.037651
0.03325	0.0379395
0.03375	0.0385978
0.03425	0.0390598
0.03475	0.0392995
0.03525	0.0399799
0.03575	0.0399912
0.03625	0.0406185
0.03675	0.0410051
0.03725	0.0415708
0.03775	0.0420818
0.03825	0.042404
0.03875	0.0429009
0.03925	0.0433325
0.03975	0.0437654
0.04025	0.0441268
0.04075	0.0446661
0.04125	0.0453664
0.04175	0.0456942
0.04225	0.0461893
0.04275	0.0467128
0.04325	0.0471662
0.04375	0.0476269
0.04425	0.0478448
0.04475	0.0485253
0.04525	0.0488419
0.04575	0.0495512
0.04625	0.0498201
0.04675	0.0502905
0.04725	0.050878
0.04775	0.0510889
0.04825	0.0517105
0.04875	0.0519579
0.04925	0.0525361
0.04975	0.0531425
0.05025	0.053711
0.05075	0.054043
0.05125	0.0546279
0.05175	0.0549552
0.05225	0.0555304
0.05275	0.0558892
0.05325	0.0565341
0.05375	0.0568397
0.05425	0.0573546
0.05475	0.0577701
0.05525	0.0583329
0.05575	0.0589803
0.05625	0.059356
0.05675	0.0596614
0.05725	0.0602437
0.05775	0.0606262
0.05825	0.0610008
0.05875	0.0615326
0.05925	0.062097
0.05975	0.0625734
0.06025	0.0631299
0.06075	0.0636753
0.06125	0.0640346
0.06175	0.0645832
0.06225	0.0651409
0.06275	0.0655141
0.06325	0.0660664
0.06375	0.0663804
0.06425	0.0668676
0.06475	0.0674596
0.06525	0.0678043
0.06575	0.0683622
0.06625	0.0689241
0.06675	0.069302
0.06725	0.069854
0.06775	0.0704733
0.06825	0.0707023
0.06875	0.0712521
0.06925	0.0716806
0.06975	0.0722044
0.07025	0.0727118
0.07075	0.0730769
0.07125	0.0736877
0.07175	0.0742576
0.07225	0.0745044
0.07275	0.0751073
0.07325	0.0755056
0.07375	0.0759772
0.07425	0.0765384
0.07475	0.0769805
0.07525	0.0775145
0.07575	0.0780006
0.07625	0.0784763
0.07675	0.0789715
0.07725	0.079423
0.07775	0.0800637
0.07825	0.0804406
0.07875	0.0808782
0.07925	0.0814748
0.07975	0.082101
0.08025	0.082395
0.08075	0.0828768
0.08125	0.0834469
0.08175	0.0838805
0.08225	0.0843678
0.08275	0.0848285
0.08325	0.0853688
0.08375	0.0859225
0.08425	0.0863366
0.08475	0.0867499
0.08525	0.087213
0.08575	0.0877751
0.08625	0.0882685
0.08675	0.0888355
0.08725	0.0891903
0.08775	0.0896144
0.08825	0.0901933
0.08875	0.0906943
0.08925	0.0911882
0.08975	0.0917597
0.09025	0.0922265
0.09075	0.0926803
0.09125	0.0931364
0.09175	0.0936143
0.09225	0.0941336
0.09275	0.0947363
0.09325	0.0951829
0.09375	0.0956076
0.09425	0.0960705
0.09475	0.0966854
0.09525	0.0970961
0.09575	0.0975316
0.09625	0.0979666
0.09675	0.0985567
0.09725	0.0990543
0.09775	0.099545
0.09825	0.0999418
0.09875	0.100501
0.09925	0.10108
0.09975	0.101491
0.10025	0.102045
0.10075	0.102428
0.10125	0.10299
0.10175	0.103477
0.10225	0.103939
0.10275	0.104481
0.10325	0.105029
0.10375	0.105387
0.10425	0.105942
0.10475	0.106387
0.10525	0.106918
0.10575	0.107409
0.10625	0.10793
0.10675	0.108486
0.10725	0.10886
0.10775	0.109372
0.10825	0.109822
0.10875	0.110328
0.10925	0.110908
0.10975	0.111319
0.11025	0.111867
0.11075	0.112291
0.11125	0.112859
0.11175	0.113233
0.11225	0.113796
0.11275	0.114212
0.11325	0.114861
0.11375	0.115243
0.11425	0.115844
0.11475	0.116299
0.11525	0.116759
0.11575	0.117326
0.11625	0.117807
0.11675	0.1183
0.11725	0.118832
0.11775	0.119265
0.11825	0.119703
0.11875	0.12027
0.11925	0.120735
0.11975	0.121248
0.12025	0.121725
0.12075	0.122149
0.12125	0.122699
0.12175	0.12316
0.12225	0.123748
0.12275	0.124198
0.12325	0.124692
0.12375	0.125177
0.12425	0.125635
0.12475	0.126125
0.12525	0.126581
0.12575	0.127122
0.12625	0.12765
0.12675	0.128072
0.12725	0.12871
0.12775	0.129208
0.12825	0.129638
0.12875	0.130198
0.12925	0.130699
0.12975	0.131088
0.13025	0.131575
0.13075	0.132131
0.13125	0.132667
0.13175	0.133099
0.13225	0.133523
0.13275	0.134166
0.13325	0.134588
0.13375	0.135091
0.13425	0.135597
0.13475	0.136121
0.13525	0.13659
0.13575	0.13696
0.13625	0.137545
0.13675	0.138012
0.13725	0.138538
0.13775	0.139054
0.13825	0.139517
0.13875	0.140011
0.13925	0.140543
0.13975	0.141044
0.14025	0.141584
0.14075	0.142015
0.14125	0.142496
0.14175	0.143014
0.14225	0.143501
0.14275	0.144029
0.14325	0.144498
0.14375	0.144951
0.14425	0.14551
0.14475	0.145975
0.14525	0.146408
0.14575	0.146995
0.14625	0.147469
0.14675	0.148042
0.14725	0.148449
0.14775	0.148958
0.14825	0.149397
0.14875	0.15002
0.14925	0.150475
0.14975	0.150968
0.15025	0.151427
0.15075	0.151897
0.15125	0.152454
0.15175	0.152974
0.15225	0.153406
0.15275	0.153915
0.15325	0.15442
0.15375	0.154909
0.15425	0.155477
0.15475	0.155876
0.15525	0.156392
0.15575	0.156923
0.15625	0.157382
0.15675	0.157836
0.15725	0.158366
0.15775	0.158864
0.15825	0.159364
0.15875	0.159954
0.15925	0.160247
0.15975	0.160852
0.16025	0.161394
0.16075	0.161879
0.16125	0.162396
0.16175	0.162879
0.16225	0.163341
0.16275	0.163878
0.16325	0.164388
0.16375	0.164849
0.16425	0.165325
0.16475	0.165877
0.16525	0.166327
0.16575	0.166888
0.16625	0.167327
0.16675	0.167834
0.16725	0.168243
0.16775	0.168926
0.16825	0.169284
0.16875	0.169744
0.16925	0.170338
0.16975	0.170817
0.17025	0.171385
0.17075	0.171829
0.17125	0.172276
0.17175	0.172855
0.17225	0.173271
0.17275	0.173879
0.17325	0.174335
0.17375	0.174713
0.17425	0.175275
0.17475	0.175731
0.17525	0.176229
0.17575	0.176755
0.17625	0.17728
0.17675	0.177759
0.17725	0.178252
0.17775	0.178742
0.17825	0.17933
0.17875	0.179751
0.17925	0.18027
0.17975	0.180758
0.18025	0.181202
0.18075	0.181739
0.18125	0.182232
0.18175	0.182744
0.18225	0.183248
0.18275	0.183687
0.18325	0.184153
0.18375	0.184724
0.18425	0.185268
0.18475	0.18573
0.18525	0.186258
0.18575	0.186778
0.18625	0.187224
0.18675	0.18773
0.18725	0.1882
0.18775	0.188704
0.18825	0.18923
0.18875	0.189743
0.18925	0.190308
0.18975	0.190755
0.19025	0.191188
0.19075	0.191701
0.19125	0.192207
0.19175	0.192772
0.19225	0.193244
0.19275	0.193685
0.19325	0.194156
0.19375	0.194723
0.19425	0.195166
0.19475	0.195684
0.19525	0.196151
0.19575	0.196688
0.19625	0.197228
0.19675	0.197685
0.19725	0.198187
0.19775	0.198665
0.19825	0.199166
0.19875	0.199636
0.19925	0.200177
