!k=p1-p2
T_R	N 
0.00025	0.0121258
0.00075	0.020844
0.00125	0.0221641
0.00175	0.0228225
0.00225	0.0225873
0.00275	0.0228667
0.00325	0.0229391
0.00375	0.0235229
0.00425	0.0223298
0.00475	0.0229647
0.00525	0.0232414
0.00575	0.022941
0.00625	0.0233825
0.00675	0.0230445
0.00725	0.022809
0.00775	0.0229427
0.00825	0.0229651
0.00875	0.022705
0.00925	0.0230144
0.00975	0.0234423
0.01025	0.023262
0.01075	0.0233335
0.01125	0.0234162
0.01175	0.02355
0.01225	0.0236303
0.01275	0.0240067
0.01325	0.0236659
0.01375	0.0236509
0.01425	0.023777
0.01475	0.0240767
0.01525	0.0239796
0.01575	0.0240121
0.01625	0.0236864
0.01675	0.0242146
0.01725	0.0243988
0.01775	0.0240253
0.01825	0.0244161
0.01875	0.0243805
0.01925	0.0242818
0.01975	0.0246404
0.02025	0.0244307
0.02075	0.0241155
0.02125	0.0244715
0.02175	0.0245635
0.02225	0.0253523
0.02275	0.0243801
0.02325	0.0253486
0.02375	0.0252673
0.02425	0.0254932
0.02475	0.0249044
0.02525	0.025562
0.02575	0.025182
0.02625	0.0253835
0.02675	0.0259695
0.02725	0.0256263
0.02775	0.0262888
0.02825	0.0257403
0.02875	0.0262526
0.02925	0.0264507
0.02975	0.0269888
0.03025	0.0265994
0.03075	0.0266106
0.03125	0.0267541
0.03175	0.0269383
0.03225	0.0269155
0.03275	0.02679
0.03325	0.0271801
0.03375	0.0271767
0.03425	0.0273412
0.03475	0.0272948
0.03525	0.027391
0.03575	0.0277812
0.03625	0.0281007
0.03675	0.0280015
0.03725	0.0283154
0.03775	0.0280685
0.03825	0.0281592
0.03875	0.0288874
0.03925	0.0284016
0.03975	0.0286577
0.04025	0.0289291
0.04075	0.0288774
0.04125	0.0285178
0.04175	0.0289806
0.04225	0.0289318
0.04275	0.0294667
0.04325	0.0291502
0.04375	0.0297074
0.04425	0.0298049
0.04475	0.030034
0.04525	0.0302572
0.04575	0.0301586
0.04625	0.0303926
0.04675	0.0306751
0.04725	0.0308716
0.04775	0.0309275
0.04825	0.0304867
0.04875	0.0307945
0.04925	0.0305802
0.04975	0.0310496
0.05025	0.0315973
0.05075	0.03156
0.05125	0.0314681
0.05175	0.0319817
0.05225	0.0312752
0.05275	0.0317978
0.05325	0.0323532
0.05375	0.0322453
0.05425	0.0324373
0.05475	0.032381
0.05525	0.0326963
0.05575	0.0332905
0.05625	0.0328285
0.05675	0.0330652
0.05725	0.0335655
0.05775	0.0328233
0.05825	0.033475
0.05875	0.034039
0.05925	0.0338091
0.05975	0.0334791
0.06025	0.0331297
0.06075	0.03392
0.06125	0.0339948
0.06175	0.0345531
0.06225	0.0348465
0.06275	0.0350952
0.06325	0.0353564
0.06375	0.0346191
0.06425	0.035027
0.06475	0.0346693
0.06525	0.0351897
0.06575	0.035775
0.06625	0.0350486
0.06675	0.0356456
0.06725	0.0352544
0.06775	0.035702
0.06825	0.0364391
0.06875	0.0361441
0.06925	0.0372741
0.06975	0.0366945
0.07025	0.0364685
0.07075	0.0364788
0.07125	0.0369512
0.07175	0.036518
0.07225	0.0374082
0.07275	0.037245
0.07325	0.0377104
0.07375	0.037255
0.07425	0.0377747
0.07475	0.0380582
0.07525	0.0378278
0.07575	0.038384
0.07625	0.0381256
0.07675	0.0386874
0.07725	0.038604
0.07775	0.038974
0.07825	0.0389318
0.07875	0.0390515
0.07925	0.0392849
0.07975	0.0392381
0.08025	0.0389633
0.08075	0.0394019
0.08125	0.0392923
0.08175	0.0400266
0.08225	0.0395938
0.08275	0.0403624
0.08325	0.0404705
0.08375	0.040279
0.08425	0.0401955
0.08475	0.0405156
0.08525	0.0407218
0.08575	0.0407601
0.08625	0.0414333
0.08675	0.0416457
0.08725	0.0413233
0.08775	0.0409089
0.08825	0.0419653
0.08875	0.0419099
0.08925	0.041692
0.08975	0.0416561
0.09025	0.0425872
0.09075	0.0425332
0.09125	0.0424994
0.09175	0.0426581
0.09225	0.0420339
0.09275	0.0424415
0.09325	0.042675
0.09375	0.0430101
0.09425	0.0441293
