!k=p1-p2
T_R	N 
0.00025	0.00870194
0.00075	0.0170338
0.00125	0.0172471
0.00175	0.0173391
0.00225	0.0174688
0.00275	0.0170953
0.00325	0.0175975
0.00375	0.0173267
0.00425	0.017165
0.00475	0.017957
0.00525	0.0173926
0.00575	0.0179408
0.00625	0.018084
0.00675	0.0181255
0.00725	0.0183519
0.00775	0.0190791
0.00825	0.0193031
0.00875	0.0193461
0.00925	0.0192888
0.00975	0.020668
0.01025	0.0203424
0.01075	0.020231
0.01125	0.0206015
0.01175	0.0211941
0.01225	0.0214236
0.01275	0.0218919
0.01325	0.0221515
0.01375	0.0220298
0.01425	0.0227601
0.01475	0.0229752
0.01525	0.0233165
0.01575	0.0236365
0.01625	0.0242264
0.01675	0.0246843
0.01725	0.0247076
0.01775	0.0251641
0.01825	0.0256131
0.01875	0.0260357
0.01925	0.026173
0.01975	0.0264723
0.02025	0.0267976
0.02075	0.0270959
0.02125	0.0278846
0.02175	0.0280467
0.02225	0.0284569
0.02275	0.0290213
0.02325	0.0295683
0.02375	0.0303198
0.02425	0.030342
0.02475	0.0305844
0.02525	0.0312268
0.02575	0.0316717
0.02625	0.0318844
0.02675	0.0322905
0.02725	0.0327065
0.02775	0.0330031
0.02825	0.0337567
0.02875	0.0340948
0.02925	0.0345394
0.02975	0.0346614
0.03025	0.0351864
0.03075	0.0357594
0.03125	0.0361959
0.03175	0.0366677
0.03225	0.0369868
0.03275	0.0376306
0.03325	0.0379518
0.03375	0.03822
0.03425	0.038692
0.03475	0.0390302
0.03525	0.0396015
0.03575	0.0401975
0.03625	0.0407113
0.03675	0.04137
0.03725	0.0416689
0.03775	0.0418192
0.03825	0.0423007
0.03875	0.0429959
0.03925	0.0431793
0.03975	0.0437836
0.04025	0.0441583
0.04075	0.044615
0.04125	0.0451811
0.04175	0.0455654
0.04225	0.0460069
0.04275	0.04649
0.04325	0.0470316
0.04375	0.0473686
0.04425	0.048111
0.04475	0.0484189
0.04525	0.0488834
0.04575	0.0491839
0.04625	0.0496344
0.04675	0.0503829
0.04725	0.0505957
0.04775	0.0511772
0.04825	0.051433
0.04875	0.0522422
0.04925	0.0526991
0.04975	0.0530314
0.05025	0.0536346
0.05075	0.0539251
0.05125	0.0543332
0.05175	0.0549982
0.05225	0.0555314
0.05275	0.0559065
0.05325	0.0562807
0.05375	0.056814
0.05425	0.0573607
0.05475	0.0575824
0.05525	0.0581775
0.05575	0.0587365
0.05625	0.0590747
0.05675	0.0597233
0.05725	0.0601147
0.05775	0.0606727
0.05825	0.0610268
0.05875	0.0614678
0.05925	0.0619858
0.05975	0.0624552
0.06025	0.0630077
0.06075	0.063567
0.06125	0.0639448
0.06175	0.0645816
0.06225	0.0650014
0.06275	0.0654611
0.06325	0.0660054
0.06375	0.0663685
0.06425	0.0669045
0.06475	0.0673248
0.06525	0.0679332
0.06575	0.0681408
0.06625	0.0688359
0.06675	0.069226
0.06725	0.0697423
0.06775	0.0702448
0.06825	0.0708201
0.06875	0.0712464
0.06925	0.0716401
0.06975	0.0721886
0.07025	0.0726945
0.07075	0.0731765
0.07125	0.073723
0.07175	0.0740584
0.07225	0.074669
0.07275	0.0751065
0.07325	0.0755636
0.07375	0.0761222
0.07425	0.0765146
0.07475	0.0770488
0.07525	0.0774734
0.07575	0.0780349
0.07625	0.0785066
0.07675	0.0789646
0.07725	0.0794549
0.07775	0.0801119
0.07825	0.0804933
0.07875	0.0807859
0.07925	0.0814266
0.07975	0.0817963
0.08025	0.0824454
0.08075	0.0828273
0.08125	0.0833597
0.08175	0.08388
0.08225	0.0843246
0.08275	0.0848246
0.08325	0.085238
0.08375	0.0858403
0.08425	0.0862964
0.08475	0.0867386
0.08525	0.0872989
0.08575	0.0877233
0.08625	0.0881993
0.08675	0.0887692
0.08725	0.0893139
0.08775	0.089789
0.08825	0.0901806
0.08875	0.0906101
0.08925	0.0911774
0.08975	0.0917433
0.09025	0.0921645
0.09075	0.0927273
0.09125	0.093166
0.09175	0.0936363
0.09225	0.0941503
0.09275	0.094557
0.09325	0.095155
0.09375	0.0955926
0.09425	0.0960449
0.09475	0.0966237
0.09525	0.0971056
0.09575	0.0975287
0.09625	0.0980552
0.09675	0.0985078
0.09725	0.0990338
0.09775	0.0995374
0.09825	0.100064
0.09875	0.100561
0.09925	0.100989
0.09975	0.10152
0.10025	0.101947
0.10075	0.102415
0.10125	0.102985
0.10175	0.103443
0.10225	0.103957
0.10275	0.104491
0.10325	0.104932
0.10375	0.105427
0.10425	0.105931
0.10475	0.106372
0.10525	0.106875
0.10575	0.10743
0.10625	0.107832
0.10675	0.108406
0.10725	0.108873
0.10775	0.109379
0.10825	0.10986
0.10875	0.11033
0.10925	0.110854
0.10975	0.111365
0.11025	0.111844
0.11075	0.112309
0.11125	0.112783
0.11175	0.113298
0.11225	0.113779
0.11275	0.114337
0.11325	0.114857
0.11375	0.115312
0.11425	0.115799
0.11475	0.116214
0.11525	0.116774
0.11575	0.1172
0.11625	0.117777
0.11675	0.118252
0.11725	0.118747
0.11775	0.119262
0.11825	0.119792
0.11875	0.120267
0.11925	0.120771
0.11975	0.121227
0.12025	0.121675
0.12075	0.122212
0.12125	0.12274
0.12175	0.123211
0.12225	0.12367
0.12275	0.1242
0.12325	0.12474
0.12375	0.125152
0.12425	0.125624
0.12475	0.126092
0.12525	0.126688
0.12575	0.127143
0.12625	0.127685
0.12675	0.128107
0.12725	0.128628
0.12775	0.129099
0.12825	0.129713
0.12875	0.130134
0.12925	0.130609
0.12975	0.131116
0.13025	0.13161
0.13075	0.132123
0.13125	0.132543
0.13175	0.133132
0.13225	0.133597
0.13275	0.134037
0.13325	0.134568
0.13375	0.135062
0.13425	0.135587
0.13475	0.136069
0.13525	0.136546
0.13575	0.137021
0.13625	0.137542
0.13675	0.138085
0.13725	0.138526
0.13775	0.13907
0.13825	0.139592
0.13875	0.140045
0.13925	0.140503
0.13975	0.141035
0.14025	0.141497
0.14075	0.141973
0.14125	0.14251
0.14175	0.143064
0.14225	0.1435
0.14275	0.144034
0.14325	0.144498
0.14375	0.144949
0.14425	0.145463
0.14475	0.145978
