!k=p1-p2
T_R	N 
0.00025	0.0129142
0.00075	0.0204132
0.00125	0.0226467
0.00175	0.0223732
0.00225	0.0226556
0.00275	0.022797
0.00325	0.0225861
0.00375	0.0225464
0.00425	0.0228214
0.00475	0.0229976
0.00525	0.0230871
0.00575	0.0228473
0.00625	0.023344
0.00675	0.0234104
0.00725	0.0233625
0.00775	0.0230596
0.00825	0.0235183
0.00875	0.0236295
0.00925	0.0233545
0.00975	0.0230474
0.01025	0.0233244
0.01075	0.0233259
0.01125	0.0232474
0.01175	0.0231758
0.01225	0.0234846
0.01275	0.0234547
0.01325	0.0232265
0.01375	0.0241063
0.01425	0.0235567
0.01475	0.0234326
0.01525	0.0241648
0.01575	0.0234953
0.01625	0.0242264
0.01675	0.0242674
0.01725	0.0243337
0.01775	0.0245569
0.01825	0.0243822
0.01875	0.0247495
0.01925	0.0248969
0.01975	0.0244913
0.02025	0.0252372
0.02075	0.0248328
0.02125	0.0249363
0.02175	0.0251177
0.02225	0.0253184
0.02275	0.0252451
0.02325	0.0251237
0.02375	0.0249687
0.02425	0.0255076
0.02475	0.0252787
0.02525	0.0250782
0.02575	0.0257868
0.02625	0.0253748
0.02675	0.0257768
0.02725	0.0258481
0.02775	0.0258726
0.02825	0.0261099
0.02875	0.0259643
0.02925	0.0270687
0.02975	0.0265848
0.03025	0.0266134
0.03075	0.0267476
0.03125	0.0270507
0.03175	0.0270477
0.03225	0.0272504
0.03275	0.0273732
0.03325	0.0271472
0.03375	0.0274009
0.03425	0.0272377
0.03475	0.0273296
0.03525	0.0272283
0.03575	0.0276652
0.03625	0.0279188
0.03675	0.0279579
0.03725	0.0281373
0.03775	0.0287022
0.03825	0.0283782
0.03875	0.0288104
0.03925	0.0282938
0.03975	0.0289123
0.04025	0.029075
0.04075	0.0289111
0.04125	0.0294935
0.04175	0.0289704
0.04225	0.0293087
0.04275	0.0295408
0.04325	0.0295131
0.04375	0.0298131
0.04425	0.0299956
0.04475	0.02978
0.04525	0.0301719
0.04575	0.0302586
0.04625	0.030159
0.04675	0.029973
0.04725	0.0305528
0.04775	0.0305601
0.04825	0.0307368
0.04875	0.0309647
0.04925	0.0316697
0.04975	0.031158
0.05025	0.030539
0.05075	0.0316626
0.05125	0.0313133
0.05175	0.031678
0.05225	0.0314976
0.05275	0.0315026
0.05325	0.0322249
0.05375	0.0322735
0.05425	0.0320705
0.05475	0.0328227
0.05525	0.0325236
0.05575	0.0329475
0.05625	0.032926
0.05675	0.0335323
0.05725	0.0331322
0.05775	0.0335826
0.05825	0.0337104
0.05875	0.0338
0.05925	0.0335064
0.05975	0.0337189
0.06025	0.0340415
0.06075	0.0338169
0.06125	0.0343398
0.06175	0.034632
0.06225	0.0346272
0.06275	0.0348073
0.06325	0.0350021
0.06375	0.0348402
0.06425	0.0348347
0.06475	0.0353558
0.06525	0.0353596
0.06575	0.0353796
0.06625	0.0356186
0.06675	0.0359865
0.06725	0.0359397
0.06775	0.0362359
0.06825	0.0363982
0.06875	0.0362919
0.06925	0.036344
0.06975	0.0361982
0.07025	0.0366822
0.07075	0.0367582
0.07125	0.0373342
0.07175	0.0366776
0.07225	0.0370877
0.07275	0.0378364
0.07325	0.037586
0.07375	0.0377144
0.07425	0.0376262
0.07475	0.0380778
0.07525	0.0381729
0.07575	0.0386549
0.07625	0.0384975
0.07675	0.0389598
0.07725	0.0384166
0.07775	0.0384261
0.07825	0.0391022
0.07875	0.0389956
0.07925	0.0394587
0.07975	0.0393753
0.08025	0.0396165
0.08075	0.0393402
0.08125	0.0393871
0.08175	0.0402379
0.08225	0.0400396
0.08275	0.0400439
0.08325	0.0406392
0.08375	0.0404352
0.08425	0.040863
0.08475	0.040734
0.08525	0.0410727
0.08575	0.0413484
0.08625	0.0408524
0.08675	0.0416084
0.08725	0.0420203
0.08775	0.0419163
0.08825	0.0418013
0.08875	0.0419408
0.08925	0.0416494
0.08975	0.0422859
0.09025	0.0422481
0.09075	0.0425056
0.09125	0.0422275
0.09175	0.0424534
0.09225	0.043287
0.09275	0.0425838
0.09325	0.0431599
0.09375	0.0433967
0.09425	0.0436763
0.09475	0.0436917
0.09525	0.0441483
0.09575	0.0440182
0.09625	0.0438989
0.09675	0.0439782
0.09725	0.0441774
0.09775	0.0448046
0.09825	0.0439323
0.09875	0.0444181
0.09925	0.0449245
0.09975	0.0455272
0.10025	0.0454645
0.10075	0.0456821
0.10125	0.0459081
0.10175	0.0455995
0.10225	0.0456478
0.10275	0.0459267
0.10325	0.0460328
0.10375	0.0462177
0.10425	0.0464488
0.10475	0.046211
0.10525	0.0461567
0.10575	0.0475209
0.10625	0.0468435
0.10675	0.0472215
0.10725	0.0474063
0.10775	0.047426
0.10825	0.0472905
0.10875	0.047855
0.10925	0.0479331
0.10975	0.0485817
0.11025	0.0481231
0.11075	0.048327
0.11125	0.0477669
0.11175	0.0485063
0.11225	0.0485325
0.11275	0.0492013
0.11325	0.0491355
0.11375	0.049381
0.11425	0.0491564
0.11475	0.0494474
0.11525	0.0491209
0.11575	0.0496113
0.11625	0.0492805
0.11675	0.0505137
0.11725	0.0497058
0.11775	0.0508604
0.11825	0.0506647
0.11875	0.0506562
0.11925	0.0508013
0.11975	0.0508502
0.12025	0.0506527
0.12075	0.0514046
0.12125	0.0510877
0.12175	0.0519185
0.12225	0.0517955
0.12275	0.0514372
0.12325	0.0516853
0.12375	0.0520603
0.12425	0.0516131
0.12475	0.0526441
0.12525	0.0523096
0.12575	0.052737
0.12625	0.0522107
0.12675	0.0527192
0.12725	0.0534912
0.12775	0.0532645
0.12825	0.0526453
0.12875	0.0537207
0.12925	0.0531928
0.12975	0.0537115
0.13025	0.0543388
0.13075	0.0538343
0.13125	0.0538943
0.13175	0.0538051
0.13225	0.0539978
0.13275	0.0543676
0.13325	0.054295
0.13375	0.0558277
0.13425	0.0545631
0.13475	0.0553532
0.13525	0.0554262
0.13575	0.0556423
0.13625	0.0557426
0.13675	0.0556372
0.13725	0.055279
0.13775	0.0561777
0.13825	0.0564204
0.13875	0.0552968
0.13925	0.0571505
0.13975	0.055437
0.14025	0.0565679
0.14075	0.0557441
0.14125	0.0569787
0.14175	0.0566814
0.14225	0.0570377
0.14275	0.0575263
0.14325	0.058022
0.14375	0.0570101
0.14425	0.0581916
0.14475	0.0571212
0.14525	0.0581641
0.14575	0.0577624
0.14625	0.058615
0.14675	0.0580266
0.14725	0.0584148
0.14775	0.0589369
0.14825	0.0591358
0.14875	0.0585563
0.14925	0.0596301
0.14975	0.0590161
0.15025	0.0590603
0.15075	0.0589096
0.15125	0.060062
0.15175	0.0593662
0.15225	0.0597151
0.15275	0.0590699
0.15325	0.0602056
0.15375	0.0598852
0.15425	0.0604226
0.15475	0.0602228
0.15525	0.0607069
0.15575	0.0611119
0.15625	0.0612528
0.15675	0.0613081
0.15725	0.060309
0.15775	0.0616406
0.15825	0.0617399
0.15875	0.0608446
0.15925	0.0615466
0.15975	0.0626108
0.16025	0.0620199
0.16075	0.0621716
0.16125	0.0638531
0.16175	0.0616413
0.16225	0.0623276
0.16275	0.0628965
0.16325	0.0633932
0.16375	0.0627561
0.16425	0.0630001
0.16475	0.0627562
0.16525	0.0640123
0.16575	0.0633216
0.16625	0.0637621
0.16675	0.0636273
0.16725	0.0639927
0.16775	0.0642642
0.16825	0.063534
0.16875	0.064097
0.16925	0.0651395
0.16975	0.0634628
0.17025	0.0654673
0.17075	0.0647765
0.17125	0.0643015
0.17175	0.064688
0.17225	0.0650833
0.17275	0.0662271
0.17325	0.0647187
0.17375	0.0662525
0.17425	0.0662819
0.17475	0.0666309
0.17525	0.0655914
0.17575	0.0660996
0.17625	0.0673012
0.17675	0.0669036
0.17725	0.0674441
0.17775	0.0669324
0.17825	0.0665087
0.17875	0.0668268
0.17925	0.0678512
0.17975	0.0684499
0.18025	0.0666651
0.18075	0.0673442
0.18125	0.0669666
0.18175	0.0677204
0.18225	0.0689753
0.18275	0.0672272
0.18325	0.0689616
0.18375	0.0690011
0.18425	0.0687166
0.18475	0.0692177
0.18525	0.0683807
0.18575	0.069429
0.18625	0.0707679
0.18675	0.0686864
0.18725	0.0686851
0.18775	0.0690869
0.18825	0.069724
0.18875	0.070006
0.18925	0.0700206
0.18975	0.0707297
0.19025	0.0698852
0.19075	0.0703599
0.19125	0.0708832
0.19175	0.0708426
0.19225	0.0707574
0.19275	0.0694292
0.19325	0.0699612
0.19375	0.0715021
0.19425	0.0712257
0.19475	0.0713203
0.19525	0.0712171
0.19575	0.0712006
0.19625	0.0718064
0.19675	0.0728946
0.19725	0.0717199
0.19775	0.0723552
0.19825	0.0717792
0.19875	0.0725155
0.19925	0.0725599
