!k=p1-p2
T_R	N 
0.00025	0.00860398
0.00075	0.0171544
0.00125	0.0173276
0.00175	0.0176379
0.00225	0.0173642
0.00275	0.0171964
0.00325	0.0175233
0.00375	0.0172004
0.00425	0.0176501
0.00475	0.0179684
0.00525	0.0179279
0.00575	0.0186913
0.00625	0.0189125
0.00675	0.0188503
0.00725	0.0188357
0.00775	0.0191862
0.00825	0.0194173
0.00875	0.019623
0.00925	0.0200039
0.00975	0.0200528
0.01025	0.0206654
0.01075	0.0205921
0.01125	0.0212427
0.01175	0.0217458
0.01225	0.0215681
0.01275	0.0221333
0.01325	0.0221997
0.01375	0.0221781
0.01425	0.022791
0.01475	0.0235789
0.01525	0.0231551
0.01575	0.0239629
0.01625	0.0243725
0.01675	0.0245883
0.01725	0.0247107
0.01775	0.0254465
0.01825	0.0259268
0.01875	0.0262807
0.01925	0.0263106
0.01975	0.0271072
0.02025	0.0270991
0.02075	0.0275487
0.02125	0.0281854
0.02175	0.0283688
0.02225	0.0285601
0.02275	0.0290478
0.02325	0.0294335
0.02375	0.0300009
0.02425	0.0303419
0.02475	0.0309894
0.02525	0.0312294
0.02575	0.0316164
0.02625	0.0320644
0.02675	0.0324954
0.02725	0.0326844
0.02775	0.0332327
0.02825	0.0336166
0.02875	0.0342227
0.02925	0.0345787
0.02975	0.0349392
0.03025	0.035324
0.03075	0.0357779
0.03125	0.036278
0.03175	0.0365991
0.03225	0.0369637
0.03275	0.0375659
0.03325	0.0377954
0.03375	0.0384007
0.03425	0.0390021
0.03475	0.0393762
0.03525	0.0398648
0.03575	0.0403721
0.03625	0.0407095
0.03675	0.0409321
0.03725	0.0414319
0.03775	0.0420689
0.03825	0.042495
0.03875	0.0429635
0.03925	0.0431269
0.03975	0.0440404
0.04025	0.0444335
0.04075	0.0449395
0.04125	0.045146
0.04175	0.045695
0.04225	0.0461628
0.04275	0.0466791
0.04325	0.0471936
0.04375	0.0474314
0.04425	0.0480407
0.04475	0.0485113
0.04525	0.0490259
0.04575	0.0494707
0.04625	0.0498167
0.04675	0.050377
0.04725	0.0506486
0.04775	0.0514205
0.04825	0.0516528
0.04875	0.0521434
0.04925	0.0527108
0.04975	0.0531964
0.05025	0.0534582
0.05075	0.0540933
0.05125	0.0545966
0.05175	0.0550371
0.05225	0.055424
0.05275	0.0559247
0.05325	0.0565284
0.05375	0.0569416
0.05425	0.0573851
0.05475	0.0579625
0.05525	0.058393
0.05575	0.0587713
0.05625	0.0592069
0.05675	0.0597818
0.05725	0.060205
0.05775	0.0606717
0.05825	0.0613022
0.05875	0.0616259
0.05925	0.0621864
0.05975	0.0626479
0.06025	0.0631921
0.06075	0.0635901
0.06125	0.064055
0.06175	0.0645263
0.06225	0.0650757
0.06275	0.065478
0.06325	0.065962
0.06375	0.0664708
0.06425	0.0669799
0.06475	0.0674715
0.06525	0.0678709
0.06575	0.0681935
