!k=p1-p2
T_R	N 
0.00025	0.00862746
0.00075	0.016408
0.00125	0.0168701
0.00175	0.0165648
0.00225	0.0175879
0.00275	0.0171447
0.00325	0.017265
0.00375	0.0179185
0.00425	0.0174794
0.00475	0.0177203
0.00525	0.0179378
0.00575	0.0182303
0.00625	0.0178103
0.00675	0.0187521
0.00725	0.0187326
0.00775	0.0191565
0.00825	0.0191657
0.00875	0.0191748
0.00925	0.019566
0.00975	0.0200828
0.01025	0.0201504
0.01075	0.0206098
0.01125	0.0206323
0.01175	0.0213372
0.01225	0.0215111
0.01275	0.0218309
0.01325	0.0224485
0.01375	0.0224363
0.01425	0.0226444
0.01475	0.0228693
0.01525	0.0234948
0.01575	0.02369
0.01625	0.0238447
0.01675	0.0245223
0.01725	0.0247404
0.01775	0.0253759
0.01825	0.0257684
0.01875	0.0259016
0.01925	0.0263631
0.01975	0.026982
0.02025	0.0270327
0.02075	0.0273313
0.02125	0.0278843
0.02175	0.0285857
0.02225	0.0287681
0.02275	0.0287846
0.02325	0.0294455
0.02375	0.0293621
0.02425	0.0302985
0.02475	0.0304799
0.02525	0.0310195
0.02575	0.0315535
0.02625	0.032166
0.02675	0.0320964
0.02725	0.0326083
0.02775	0.0331253
0.02825	0.0335043
0.02875	0.03404
0.02925	0.0343661
0.02975	0.0348061
0.03025	0.035213
0.03075	0.0357184
0.03125	0.035816
0.03175	0.0364817
0.03225	0.0371012
0.03275	0.0377225
0.03325	0.0380559
0.03375	0.0385224
0.03425	0.0388225
0.03475	0.0392417
0.03525	0.0396415
0.03575	0.0400727
0.03625	0.0406363
0.03675	0.0410756
0.03725	0.0414599
0.03775	0.042074
0.03825	0.0423905
0.03875	0.0430437
0.03925	0.0433869
0.03975	0.0439153
0.04025	0.0442495
0.04075	0.0447234
0.04125	0.0451624
0.04175	0.0455131
0.04225	0.0460637
0.04275	0.0465462
0.04325	0.046883
0.04375	0.0474987
0.04425	0.0479746
0.04475	0.0484377
0.04525	0.0488712
0.04575	0.0494072
0.04625	0.0497344
0.04675	0.0503522
0.04725	0.0507345
0.04775	0.0511232
0.04825	0.0517407
0.04875	0.0520786
0.04925	0.0526471
0.04975	0.0531906
0.05025	0.0534372
0.05075	0.0540417
0.05125	0.054517
0.05175	0.0550329
0.05225	0.0555999
0.05275	0.0559743
0.05325	0.0564511
0.05375	0.056875
0.05425	0.0573694
0.05475	0.0579021
0.05525	0.0582749
0.05575	0.0587477
0.05625	0.0591562
0.05675	0.0596554
0.05725	0.0602086
0.05775	0.0606192
0.05825	0.0612121
0.05875	0.0616205
0.05925	0.0619659
0.05975	0.0626144
0.06025	0.0629939
0.06075	0.0634042
0.06125	0.0639707
0.06175	0.0643872
0.06225	0.0649881
0.06275	0.0654289
0.06325	0.0659517
0.06375	0.0662837
0.06425	0.0669554
0.06475	0.0673652
0.06525	0.0677864
0.06575	0.0683211
0.06625	0.0688745
0.06675	0.0693144
0.06725	0.0698464
0.06775	0.0703258
0.06825	0.0706768
0.06875	0.0713328
0.06925	0.0717144
0.06975	0.0721362
0.07025	0.0726296
0.07075	0.0731985
0.07125	0.0736743
0.07175	0.0741281
0.07225	0.0746325
0.07275	0.0750974
0.07325	0.0755608
0.07375	0.0760906
0.07425	0.0766408
0.07475	0.0769646
0.07525	0.0775022
