!k=(p1-p2)/2
T_R	N 
0.000125	0.0163348
0.000375	0.0162085
0.000625	0.0167298
0.000875	0.016599
0.001125	0.0165136
0.001375	0.01687
0.001625	0.017027
0.001875	0.0163844
0.002125	0.0167483
0.002375	0.0164389
0.002625	0.0164667
0.002875	0.0168032
0.003125	0.0171407
0.003375	0.0171665
0.003625	0.0168281
0.003875	0.0173518
0.004125	0.0173131
0.004375	0.0172707
0.004625	0.0177777
0.004875	0.0176447
0.005125	0.0171664
0.005375	0.0181399
0.005625	0.017699
0.005875	0.0176065
0.006125	0.0179413
0.006375	0.0179311
0.006625	0.0180711
0.006875	0.0183973
0.007125	0.018807
0.007375	0.0187203
0.007625	0.0194143
0.007875	0.0187041
0.008125	0.0189418
0.008375	0.0186323
0.008625	0.0191933
0.008875	0.0194297
0.009125	0.0194173
0.009375	0.0196374
0.009625	0.0198842
0.009875	0.019924
0.010125	0.0201734
0.010375	0.0198384
0.010625	0.0203393
0.010875	0.0204132
0.011125	0.0203403
0.011375	0.0209408
0.011625	0.0212482
0.011875	0.0205359
0.012125	0.0210611
0.012375	0.0211103
0.012625	0.0213709
0.012875	0.0216461
0.013125	0.0216792
0.013375	0.0217594
0.013625	0.0221509
0.013875	0.0222333
0.014125	0.0222009
0.014375	0.0230436
0.014625	0.0231021
0.014875	0.0228459
0.015125	0.023207
0.015375	0.0234454
0.015625	0.0234416
0.015875	0.0236454
0.016125	0.0234921
0.016375	0.0241162
0.016625	0.0242302
0.016875	0.0246892
0.017125	0.0243799
0.017375	0.0248843
0.017625	0.0251172
0.017875	0.0247695
0.018125	0.0250697
0.018375	0.025539
0.018625	0.0257401
0.018875	0.0259481
0.019125	0.0259237
0.019375	0.0260226
0.019625	0.0268257
0.019875	0.0267964
0.020125	0.027124
0.020375	0.0267918
0.020625	0.0272348
0.020875	0.0273374
0.021125	0.0277156
0.021375	0.0277229
0.021625	0.0278174
0.021875	0.0279652
0.022125	0.0282127
0.022375	0.028528
0.022625	0.0286092
0.022875	0.0289733
0.023125	0.0291263
0.023375	0.0291669
0.023625	0.029844
0.023875	0.0299749
0.024125	0.0298276
0.024375	0.0304947
0.024625	0.0302404
0.024875	0.0306356
0.025125	0.0307317
0.025375	0.0312945
0.025625	0.0313793
0.025875	0.0315068
0.026125	0.0316857
0.026375	0.0317722
0.026625	0.0320116
0.026875	0.0322117
0.027125	0.0325737
0.027375	0.0326591
0.027625	0.0333436
0.027875	0.0330831
0.028125	0.0335981
0.028375	0.0339952
0.028625	0.0339763
0.028875	0.0342473
0.029125	0.0343068
0.029375	0.0346079
0.029625	0.0346609
0.029875	0.0347381
0.030125	0.0350265
0.030375	0.0352566
0.030625	0.0354278
0.030875	0.0361023
0.031125	0.0359831
0.031375	0.036233
0.031625	0.0363339
0.031875	0.0367077
0.032125	0.0369504
0.032375	0.0370942
0.032625	0.0373825
0.032875	0.0374357
0.033125	0.0377823
0.033375	0.0380147
0.033625	0.0380843
0.033875	0.0384644
